Record;Event;Author;Recipient/dedicatee information;Recipient/dedicatee;Title;Printer;Printer information;Place;Summary;Other places quoted by the printer;Year;Language;Form (prose/verses/mixed);Identifier in USTC;Reference copy-ies;Digitised copy link;Related images and documents;Additional notes;Analaytic tags;Private notes
P-1589-PA-0010;1589 Pastrana Flood;Ramírez, Marco Antonio;;;Relación muy verdadera del diluvio y gran daño que vino en la villa de Pastrana día del glorioso y bienaventurado San Augustín, lunes veinte y ocho de agosto, deste presente año de mil y quinientos y ochenta y nueve, compuestas por el licenciado Marco Antonio Ramírez;Fernández, Diego;Impressas con licencia del Vicario general de Alcalá, y aora por Diego Fernández de Cordoba impressor en Valladolid;Valladolid;;;1589;Spanish;Verse;349356;Madrid, Biblioteca Nacional de España R/35407;;"I-1589-PA-0227 / 1589 Pastrana Flood / T and O map (Orbis Terrarum); Lamentation of Christ (This document includes)";;;Foto GS
P-1593-BI-0011;1593 Bilbao Flood;Mongastón, Juan de;;;El espantoso y doloroso diluvio que en la villa de Bilbao ha succedido con los demás pueblos comarcanos, en este año de 1593;Cole de Ibarra, Pedro;por Pedro Cole de Ibarre;Bilbao;;;1593;Spanish;Verse;337560;Madrid, Biblioteca Nacional de España R/9476;;;;;Foto Schiano
P-1597-CU-0012;1597 Cuenca Earthquake;Godoy, Juan de;;;Relación muy verdadera donde se trata la gran tempestad y torromoto que vino a la ciudad de Cuenca, este año de noventa y siete, a nueve días de mayo, viernes a las diez de la noche. Trata como se vieron grandes relámpagos y truenos temerosos, donde cayó un rayo sobre la torre del ángel de la iglesia mayor, y quemó algunas cosas, por donde se alborotó la ciudad, y fueron al socorro del fuego, por mandado de don Pedro de Mendoça provissor y arcediano de Geute y canónigo y dignidad de Cuenca y del corregidor don Diego de Vargas. Para esto salieron todas las ordenes y gente de la ciudad, adonde proveyó Dios que el fuego tuviesse fin. Es obra de mucho exemplo para el christiano;Lara, Fernando de;Impressa con licencia en Cuenca, por Carlos del Castillo y por el mismo original en Sevilla por Fernando de Lara;Seville;;Cuenca;1597;Spanish;Verse;345372;Cambridge (USA), Houghton Library, Harvard University SC5 A100 B595p2;;;"Facsimile: Los pliegos sueltos de Thomas Croft (siglo XVI), eds.&nbsp;Cátedra, Pedro Manuel; Infantes, Victor Valencia, Albatros ediciones; 1983";RISPOSTE ISTITUZIONALI→Figure eroiche/Gesti salvifici;
P-1597-VA-0013;1597 Valladolid Flood;Pinciano Hurtado, Francisco;;;Relación verdadera de los daños que hizo la creciente del río Pisuerga, en la ciudad de Valladolid. Compuesto por Francisco Hurtado Pinciano. Con dos romances del sucesso de Salamaca, y çamora. Con licencia del señor corregidor;Junta, Felipe  de;Felipe de Junta por Juan Bautista Varesio;Burgos;;;1597;Spanish;Verse;339181;Madrid, Biblioteca Nacional de España R/4459;;I-1597-VA-0228 / 1597 Valladolid Flood / Crucifixion (This document includes);;SENSORIALITÀ E MATERIALITÀ→Contrasto visuale tra luce e oscurità;Foto GS
P-1600-HU-0642;1600 Huaynaputina Eruption;Calancha, Antonio de la;Dedicada a nuestra señora / de Gracia, singular Patrona i Abogada de la dicha Orden;Virgin of Gracia;Coronica moralizada del orden de San Augustin en el Peru con sucesos egenplares en esta Monarqvia ...;Lacavalleria, Pedro;Por Pedro Lacavalleria, en la calle de la / Libreria;Barcelona;The friar announces that strange things were seen during the eruption, but announces that he will return to the portents later, when he will talk about the year in which the eruption took place (p. 685).;;1638;Spanish;Prose;5008407;Seville, Biblioteca de la Universidad de Sevilla A 050/111;https://archive.org/details/A050111;;;;
P-1600-HU-0648;1600 Huaynaputina Eruption;Torres, Bernardo de;Dedicada a N. Muy R. P. Maestro fray Iuan del / Alamo dignissimo Prior Provincial de dicha Provincia;Álamo, Juan del;Cronica de la / provincia peruana de la orden de los ermitaños de San Agustin Nuestro Padre ...;Santos de Saldaña, Juan;en la imprenta de Iulian Santos de Saldaña;Lima;The description of the eruption of Huaynaputina occupies pages 73-80 of the Augustinian work. Torres attributes the eruption to the sins of Arequipa and recalls that already in the past the inhabitants had suffered the wrath of God with the earthquake of 1587. He reflects on the causes of the event, which, having occurred during the rainy season, should have led him to believe that the cause was not natural but divine. He also mentions how some preachers, such as the Jesuit Alonso Ruiz, had prophesied God's imminent punishment. On the disaster, he says he consulted the texts of the Jesuit Martín del Río, Juan Solórzano Pereira and Antonio de la Calancha. The author describes the phases of the calamity and how the noise generated by the eruption was mistaken by the viceroy for a naval battle with English pirates. Of particular note is the definition of Huaynaputina as an 'Indian Vesuvio'. The work of the Society of Jesus and the Augustinians in assisting the population is particularly noteworthy.;;1657;Spanish;Prose;;Providence, John Carter Brown Library 1-SIZE BA657.T693c;https://archive.org/details/cronicadelaproui00torr;;;;
P-1600-HU-074E;1600 Huaynaputina Eruption;Bonito, Marcello;;;Terra tremante, o vero Continuatione de' terremoti dalla creatione del mondo fino al tempo presente, in cui s'ammirano metamorfosi della natura, ingoiamenti di paesi, aperture, e voragini della terra, assorbimenti d'isole...;"Parrino, Domenico Antonio; Mutii, Michele Luigi"; nella nuova stampa delli socii Dom. Ant. Parrino, e Michele Luigi Mutii : ad istanza di Dom. Ant. Parrino;Naples;;;1691;;;;;;;;;da completare con: dedica, tag e rinvii a Martin Del Rio Disq. Mag. e Solorzano Iur. Ind., che sono le sue fonti, ampiamente citate
P-1600-HU-08F2;1600 Huaynaputina Eruption;Vega, Garcilaso de la, el Inca;"a la Serenissima Princesa Doña Catalina de Portugal, Duqueza de Bragança, &amp;c.";Catarina of Portugal, Duchess of Braganza;Primera parte de los Commentarios reales que tratan del origen de los Yncas, Reyes que fueron del Peru ..., y de todo lo que fue aquel Imperio y su Republica, antes que los Españoles passaran a el;Craesbeeck, Pedro;En Lisboa : En la Officina de Pedro Crasbeeck;Lisbon;;;1609;Spanish;Prose;180;Madrid, Biblioteca Nacional de España R/599;http://bdh-rd.bne.es/viewer.vm?id=0000009186&page=1;"P-1600-HU-08F3 / 1600 Huaynaputina Eruption / Novus orbis seu Descriptionis Indiae Occidentalis libri 18 (This document is mentioned in); P-1600-HU-08F4 / 1600 Huaynaputina Eruption / L' historie du Nouveau Monde ou description des Indes Occidentales, contenant dix-huit livres: par le Sieur Jean de Laet, d'Anvers; enrichi de nouvelles tables geographique &amp; figures des animaux, plantes &amp; fruicts (This document is mentioned in)";;;
P-1600-HU-08F3;1600 Huaynaputina Eruption;Laet, Johannes de;Carolo I Magnae Britanniae, Franciae, et Hiberniae, Fidei Defensori;Charles I Stuart;Novus orbis seu Descriptionis Indiae Occidentalis libri 18;Elzevir;Lugd. Batav. apud Elzevirios;Leiden;In the latin translation (1633) of his work on the New World, originally published in Dutch (1625), the author mentions the volcanic eruptions and its effects ond land and men;;1633;;Prose;;;;"P-1600-HU-08F2 / 1600 Huaynaputina Eruption / Primera parte de los Commentarios reales que tratan del origen de los Yncas, Reyes que fueron del Peru ..., y de todo lo que fue aquel Imperio y su Republica, antes que los Españoles passaran a el (This document mentions); P-1600-HU-08F4 / 1600 Huaynaputina Eruption / L' historie du Nouveau Monde ou description des Indes Occidentales, contenant dix-huit livres: par le Sieur Jean de Laet, d'Anvers; enrichi de nouvelles tables geographique &amp; figures des animaux, plantes &amp; fruicts (This document is translated in)";;;
P-1600-HU-08F4;1600 Huaynaputina Eruption;Laet, Johannes de;;;"L' historie du Nouveau Monde ou description des Indes Occidentales, contenant dix-huit livres: par le Sieur Jean de Laet, d'Anvers; enrichi de nouvelles tables geographique &amp; figures des animaux, plantes &amp; fruicts";Elzevir;"A Leyde : chez Bonaventure &amp; Abraham Elseviers";Leiden;In this work, which is the French translation of previous Dutch (1625) and Latin versions (1633), the author mentions the eruption and its effects on the land and men;;1640;French;Prose;;Wien, Osterreichische Nationalbibliothek 56.R.13;https://books.google.co.zm/books?id=2mJTAAAAcAAJ&printsec=frontcover#v=onepage&q&f=false;"P-1600-HU-08F2 / 1600 Huaynaputina Eruption / Primera parte de los Commentarios reales que tratan del origen de los Yncas, Reyes que fueron del Peru ..., y de todo lo que fue aquel Imperio y su Republica, antes que los Españoles passaran a el (This document mentions); P-1600-HU-08F3 / 1600 Huaynaputina Eruption / Novus orbis seu Descriptionis Indiae Occidentalis libri 18 (This document is a translation of)";;;
P-1600-HU-096D;1600 Huaynaputina Eruption;;;;;;;;;;;;;;;;;;;
P-1600-HU-09BD;1600 Huaynaputina Eruption;Ordoñez Ceballos, Pedro;Dirigido a don Antonio Davila y Toledo, sucessor y mayorazgo en la casa de Velada;Davila y Toledo, Antonio;Viage del mvndo hecho y compvesto por el Licenciado Pedro Ordoñez de Ceuallos, natural de la insigne ciudad de Iaen;Sánchez, Luis;Por Luis Sanchez, impressor del Rey N. S. ;Madrid;On page 273, the traveller refers to how the eruption of the Arequipa volcano (Huaynaputina) caused the destruction of the vineyards that were buried by the volcano's ash. But the eruption also explains, according to the author, why earthquakes ceased in Peru despite the fact that in the past earthquakes had caused a lot of damage in the country.;;1614;Spanish;Prose;;Madrid, Biblioteca Nacional de España R.MICRO/6032 and R/421;http://bdh-rd.bne.es/viewer.vm?id=0000215820&page=1;;;;
P-1600-HU-09BF;1600 Huaynaputina Eruption;Ramos Gavilán, Alonso;A don Alonso Bravo de Sarabia y Sotomayor, del Abito de Santiago, del Consejo de su Magestad, Consultor del Santo Oficio y Oidor de Mexico.;Bravo de Sarabia y Sotomayor, Alonso;Historia del celebre santvario de Nvestra Señora de Copacabana, y sus Milagros, è Inuencion de la Cruz de Carabuco;Contreras, Gerónimo de;Por Geronymo de Contreras;Lima;The friar refers a miracle that took place after the eruption. The volcano expelled a tunic and shoes that had belonged to a saint and these objects were found in the river.;;1621;Spanish;Prose;;London, British Library General Reference Collection DRT Digital Store 4744.dd.10;https://books.google.it/books?vid=BL:A0021473586&redir_esc=y;;;TOPOI DELLA NARRAZIONE→Miracoli, prodigi, Interventi soprannaturali;
P-1603-SE-0015;1603 Seville Flood;Mesa, Tomás de;;;Andeluvio y ruina que hizo el río Guadalquivir, en la ciudad de Sevilla, y Triana, y otros pueblos comarcanos, en veinte de diziembre deste año de mil y seiscientos y tres. Donde se da cuenta del mucho mal que hizo, derribando casas, ahogando gentes, echando a perder mucha suma de mercaderías, hundiendo navíos de trigo, y otras cosas, y las grandes prevenciones que su señoría el assistente, y sus justicias, hicieron para reparar los daños que hacía a la ciudad, juntamente con los señores veintiquatros de la dicha ciudad;Lara, Fernando de;en casa de Fernando de Lara;Seville;;;1603;Spanish;Verse;5026429;Madrid, Biblioteca Nacional de España VE/1428/1;;I-1603-SE-022B / 1603 Seville Flood / City View (This document includes);CBDRS: 0007025;;foto Milena
P-1603-SE-0016;1603 Seville Flood;de las Casas Alés, Blas;From the text: A vos, gran Assistente la consagro ... ínclito Avellaneda (vv. 25 and 34);Avellaneda, Bernardino, don;Cuarta relación de el avenida del río de Sevilla. Compuesto en octavas muy curiosas por Blas de las Casas vecino de Sevilla;Pérez, Francisco;En Sevilla en casa de Francisco Perez en la calle de Martin Ceron, junto al Veinteycuatro Diego Nuñez Perez;Seville;;;1604;Spanish;Verse;Null;Library of the Duque de T’Serclaes n.º 7;;I-1603-SE-022C / 1603 Seville Flood / View of Fortified City (This document includes);Mentioned by Gonzalo García, Noticias sobre las crecidas del Guadalquivir en Sevilla en la primera década del siglo XVII, Studia Aurea', 13, 2019, pp. 261-296';SENSORIALITÀ E MATERIALITÀ→Contrasto visuale tra luce e oscurità;
P-1604-AE-0646;1604 Arica Earthquake;Calancha, Antonio de la;Dedicada a nuestra señora / de Gracia, singular Patrona i Abogada de la dicha Orden;Virgin of Gracia;Coronica moralizada del orden de San Augustin en el Peru con sucesos egenplares en esta Monarqvia ...;Lacavalleria, Pedro;Por Pedro Lacavalleria, en la calle de la / Libreria;Barcelona;Although the earthquake brought down Arequipa's best buildings, according to De la Calancha, it also managed to increase the fertility of the land.;;1638;Spanish;Prose;5008407;Seville, Biblioteca de la Universidad de Sevilla A 050/111;https://archive.org/details/A050111;;;;
P-1604-AE-077D;1604 Arica Earthquake;Raya, Antonio de la;;;Relación muy lastimosa, y de ciertas ruynas y / casos notables sucedidos en la ciudad de Arequipa, y otros lugares, en el año / de 1605. Embiada por el obispo del Cuzco, a esta ciudad de;;;Malaga;;;1606;Spanish;Prose;5029631;New York, Public Library *KB+ 1606;;;;;
P-1606-LI-0634;1606 Lima Earthquake;Córdoba y Salinas, Diego de;Dirigida a la Catolica Magestad  de Don Felipe IIII N. S. rey potentissimo de las Espanas, y Monarca invictissimo del Nuevo Orbe, en su Real y Supremo Consejo de Indias;Philip IV;Coronica de la religiosissima provincia de los doze apostoles del Peru, de la orden de N.P. S. Francisco de la regular observancia ...;López de Herrera, Jorge;Por Jorge López de Herrera;Lima;The friar claims that he witnessed the earthquake, which took place at 8 a.m.;;1651;Spanish;Prose;;Madrid, Biblioteca Nacional de España R/14078;http://bdh-rd.bne.es/viewer.vm?id=0000015363&page=1;;;;
P-1608-SE-0018;1608 Seville Flood;Brizuela Corcuera, Diego;;;"Relación muy verdadera de la tempestad, huracanes y temblores de tierra que succedieron en la ciudad de Sevilla día de señor san Benito, que se contaron veynte y uno de março deste año de 1608, compuesta por el maestro Diego de Briçuela Corçuera, cura proprio de la villa de los poçuelos, en el campo de Calatrava por su Magestad, estante este día en Sevilla; Con un romance a la postre del glorioso san Benito compuesto por el mismo author en cuyo día acaeció";Clavijo, Mathias;en Sevilla, en casa de Mathias Clavijo, a la Carpinteria;Seville;;;1608;Spanish;Verse;5026685;Madrid, Biblioteca Nacional de España VE/1492/1;;"I-1608-SE-022D / 1608 Seville Flood / General Figures; St Benedict (This document includes)";;RISPOSTE ISTITUZIONALI→Figure eroiche/Gesti salvifici;
P-1608-SE-0019;1608 Seville Flood;;;;"Relazione della gran tempesta e diluvio d’acqua, grandini, pietre e saette di fuoco che vennero sopra la città di Siviglia a 22 di marzo di questo anno 1609, dove si tratta della morte di molte persone &amp; le molte disgrazie che succedettero in questa occasione. Tradotta novamente dalla lingua spagnola all’italiana";Pasquato, Lorenzo;per il Pasquati;Padua;;"Seville;Barcelona;Mallorca;Palermo";1609;Italian;Prose;Null;Berlin, Staatsbibliothek Mz 7032 R;http://stabikat.de/DB=1/LNG=EN/CLK?IKT=12&TRM=445428880;"I-1608-SE-022E / 1608 Seville Flood / Emblem; Conversion of Paul the Apostle (This document includes)";Translation from Spanish;;Verificare se è la traduzione della relazione in spagnolo sullo stesso disastro (di cui leggo che abbiamo pdf Schiano)_Valentina
P-1608-SE-001A;1608 Seville Flood;Gaitán, Juan Andrés;;;Relación que el licenciado Andrés Juan Gaitán, fiscal del Sancto Officio de la Ynquissición de Sevilla embió a la ciudad de Cuenca de un terremoto que sucedió en la ciudad de Sevilla y Triana a veinte y uno de março deste año de 1608;;;;;;1608;Spanish;Prose;5111538;Madrid, Biblioteca Nacional de España Mss/18654/76;;;Si tratta dell'inondazione di Siviglia e Triana nonostante dal titolo l'evento venga deifnito come un terremoto;;
P-1608-SE-096A;1608 Seville Flood;Brizuela Corcuera, Diego;;;"Relacion muy verdadera de la tempestad, huracanes, y temblores de tierra que succedieron en esta ciudad de Seuilla dia del señor san Benito, que se contaron veynte y uno de Março deste año de 1608. Compuesta por el maestro Diego de Briçuela Corçuera, cura proprio de la villa de los poçuelos, en el campo de Calatraua por su Magestad, estante este dia en Seuilla ; Con un romance a la postre del glorioso san Benito compuesto por el mismo author en cuyo dia acaecio.";;;;;;1608;;;;Library of the Duque de T’Serclaes A, Caja 1, n.º 11;;I-1608-SE-0510 / 1608 Seville Flood / The Annunciation (This document includes);;;
P-1609-LI-001C;1609 Lima Earthquake;Oña, Pedro de;;Mendoza, Joan de;Temblor de Lima año de 1609. Governando el Marqués de Montes Claros, virrey excellentíssimo, y una canción real panegírica en la venida de su excellencia a estos reynos. Dirigido a don Ioan de Mendoza, y Luna marqués de Castil de Bayuela su primogenito successor. Por el licenciado Pedro de Oña;Canto, Francisco del;por Francisco del Canto;Lima;;;1609;Spanish;Verse;5028344;Providence, John Carter Brown Library R B609 .O58t;https://archive.org/details/temblordelimaa00oa/page/n15;I-1609-LI-022F / 1609 Lima Earthquake / Coat of Arms of the Marquis of Montesclaros (This document includes);"Modern edition&nbsp;in Carneiro Araujo 2018";;
P-1609-LI-0637;1609 Lima Earthquake;Córdoba y Salinas, Diego de;Dirigida a / la Catolica Magestad  de Don Felipe IIII N. S. rey potentissimo de las Espanas, / y Monarca invictissimo del Nuevo Orbe, en su Real y Supremo Consejo de Indias;Philip IV;Coronica / de la religiosissima provincia de los doze apostoles del Peru, de la orden de / N.P. S. Francisco  de la regular observancia ...;López de Herrera, Jorge;Por Jorge Lopez de Herrera;Lima;Córdoba y Salinas witnessed the earthquake that took place at 19 p.m. He relates that the cathedral, imitation of Seville's cathedral, was damaged. For this reason,  its vaults were demolished and rebuilt at a lower height.;;1651;Spanish;Prose;;Madrid, Biblioteca Nacional de España R/14078;http://bdh-rd.bne.es/viewer.vm?id=0000015363&page=1;;;RISPOSTE ISTITUZIONALI→Pianificazione urbana e architettonica;
P-1609-LI-0A3F;1609 Lima Earthquake;Rosignoli, Carlo Gregorio;;;Opere / Spirituali e Morali del Padre Carlo Gregorio Rosignoli della Compagnia di Giesù / distribuite in tre tomi. Tomo primo;Baglioni, Paolo;Presso Paolo Baglioni;Venice;;;1713;Italian;Prose;;Munich, Bayerische Staatsbibliothek 4 Asc. 907-1;https://books.googleusercontent.com/books/content?req=AKW5QadyUdT9pRfFKP3xsm1nrTtlEqOvfCYS6QWRYgUBG8O3LA9QbLAYK6KezTzNlmD5DqnshO09HBkY31nOsALRRB9x_qtf4iEu62w8RnbVZcQzsy34n-3YjKJ3Ab0SD8lHlvEnf5WFSaSwmQrBT6oZaGV3irSLhedgXkeSIwKLtLQyj1BjLtdBSEVkhDXoc5L93J4_c;;;INTERPRETAZIONE→Punizione per i peccati degli uomini;
P-1609-LI-0A8C;1609 Lima Earthquake;da Decimio, Bernardo;;;Secoli / Serafici ovvero compendio cronologico della storia francescana dall’anno / MCLXXXII. in cui nacque il serafico Patriarca S. Francesco d’Assisi fondatore / dell’Ordine de’ Frati Minori fino al Capitolo Generale dell’ano MDCCLVI / nuovamente disteso, aggiunto, e difeso con un’appendice alla storia del primo / secolo da un religioso toscano dello stess’Ordine;Viviani, Pietro Gaetano;;Florence;In Lima Francesco Solano invokes and stops an earthquake to induce the vicious to convert.;;1757;Italian;Prose;;Princeton, University of Princeton 14088.359.84;https://books.googleusercontent.com/books/content?req=AKW5QaeVhBFDtxOH1oiJnjOtJ0Nm6Fy7833X3H9hx85hg3hts-rwfsE_tQPRlUpaUZtyRV2Wxxw3eVu7RzM2yUok9JeRt90hEQW6Mlp7Lg-GkqVaptOwRqYRCJUfRTLbqxqmRvl_IiJ1JSc9EB21H_lpqmHdGBhAgIxftg6xMRX6tIqrqpdEci_lZdkC1E34oW536Gy_3;;;COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;
P-1609-LI-0A94;1609 Lima Earthquake;de San Diego y Villalón, Diego;;;Compendio / della vita del beato Francesco Solano Minore osservante dell'Ordine di S. / Francesco composto da un suo divoto;Bernabò, Angelo;Per Angelo Bernabò;Rome;The repentance of sinners causes God's wrath, manifested in the earthquake, to cease.;;1675;Italian;Prose;;Rome, Biblioteca Casanatense VOL MISC.1417 4;https://books.googleusercontent.com/books/content?req=AKW5QaeiELOko0IGG_3zabC1aoYKqjWk-I3-WUIEqEpgH2fIOpr_mFjQ1MX4mYbml-ObzvbPRQpctvZNlEYW-Ade0JDVt06ZUY6M8wkYeABi2lhl4Q_weprWMF93jyXwWzGyiUdnuVNyT8ab9-N8LUxgartI47JL5A-hVPHY71V17fK8DRjZhyIVDkwhrcczyaG7dL5HG;;;COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;
P-1609-LI-0A95;1609 Lima Earthquake;di Caprarola, Antonio;;;"Vita / del gran Servo di Dio fra Francesco Solano della regolare Osser. di S. Francesco / Illustre in virtù, e prodigij: Predicatore Apostolico nell'Indie Occidentali; / acclamato per Padrone della Città di Lima Metropoli del Perù, e da altre famose / Città dell'Indie. Rescritta da varij Autori, e Processi appresso la Sede / Apoftolica per Frat'Antonio di Caprarola Lettor di Teologia in Araceli, e / Custode della Provincia Romana";Ercole, Michele;Per Michele Hercole;Rome;Francesco Solano raises and stops an earthquake to induce sinners to contrition.;;1672;Italian;Prose;;Florence, Biblioteca Nazionale Centrale 9.4.232;https://books.googleusercontent.com/books/content?req=AKW5QaeLysqK8SigkbkUV9m1y9bk5Vm9Lv7WphRcClavA9dBmSLYGLtszsecrPym9uLaBJwb2pMn3nrnxYBiK7tjyzIx_jqdPBK5k_SxMJn1fvQ-g400Z_GhepGzPLbbvf5FOGZDoAfp281XiJhAWOdTY4gIoBJTxwNfNPfF6xhFuadY0SfJDuXtpznTGxhS07WJwcbkt;;;COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;
P-1611-ET-001D;1611 Etna Eruption;;;;Relación verdadera y digna de ser sabida de todos, de unos espantosos, y maravillosos señales de fuegos, y truenos, que se vieron y oyeron en la montaña de Mongibelo en la Isla de Cicilia en diferentes horas, días, y años, como se dirá abako;Matevad, Sebastian;Sebastian Matevad;Barcelona;;;1611;Spanish;Prose;5035306;Barcelona, Biblioteca de Catalunya F.Bon. 10892;;;;;
P-1614-GR-001E;1614 Granada Earthquake;;;;Veríssyma y notable relación, en la qual se declara el espantoso temblor y tempestad que sucedió en la ciudad de Granada, a cinco del mes de octubre deste presente año. Vase declarando las desgratias que sucedieron, y como tembló la Tierra en once días tres vezes. Es obra digna de ser leyda. Lleva al cabo un romance nuevo muy curioso sobre la premática de las mugeres, y unas siguidillas nuevas de la competencia que tuvo el paje Vacallau con su amo;Lorençana, Bartolomé  de;en Granada, en casa de Bartolomé de Lorençana;Granada;;;1614;Spanish;Verse;5025662;London, British Library 1072.g.26.(21.);http://access.bl.uk/item/viewer/ark:/81055/vdc_100029516244.0x000001;I-1614-GR-0230 / 1614 Granada Earthquake / A scribe (This document includes);;INTERPRETAZIONE→Segni premonitori;
P-1614-TI-001F;1614 Terceira Island Earthquake;;;;Relación verdadera de un caso terrible y espantoso digno de ser memorado, el qual sucedió en la isla de la Tercera, sábado en 24 días del mes de mayo, deste presente año de 1614. En la qual se declara de un terremoto, y teblor de la tierra q huvo a donde se destruyeron nueve vilas y aldeas, hundieron en ellas los templos, monasterios, caserías, desde el techo, hasta los suelos, que fue un castigo grande que Dios nos quiso embiar por nuestros pecados, como por la obra lo verán;Delgado, Cosme;por Cosme Delgado;Madrid;;;1614;Spanish;Verse;5023561;London, British Library 1072.g.26.(18.);http://access.bl.uk/item/viewer/ark:/81055/vdc_100029516235.0x000001;"I-1614-TI-0231 / 1614 Terceira Island Earthquake / Emblem between Figures (This document includes); I-1614-TI-0232 / 1614 Terceira Island Earthquake / Greek Cross (This document includes)";;;
P-1614-TI-0020;1614 Terceira Island Earthquake;Segura, Francisco de;;;Relación del lastimoso sucesso que nuestro Señor fue servido sucediesse en la Isla de la Tercera, cabeça de las siete sslas de los Azores, de la corona del reyno de Portugal, en veynte y quatro de mayo sabado día de Santa Iuliana deste año 1614 a las tres horas de la terde, con tres temblores que duraron, por espacio de dos credos. Compuesto por el Alférez Francisco de Segura, criado del rey nuestro Señor. Dirigida al señor Balthasar de Moncal, caballero del habito de Montesa;"Graells, Gabriel; Liberós, Esteban";por Gabriel Graells y Esteban Liberós;Barcelona;;;1614;Spanish;Verse;5024503;Lisbon, Biblioteca Nacional de Portugal RES. 903//18 P.;https://www.bidiso.es/CBDRS/ediciones/BDRS0000864/88/ejemplar/6883;I-1614-TI-0231 / 1614 Terceira Island Earthquake / Emblem between Figures (This document includes);;;
P-1614-TI-0021;1614 Terceira Island Earthquake;;;;Relación verdadera, de un caso terrible y espantoso digno de ser memorado, el qual sucedió en la isla de la Tercera, sábado en 24 días del mes de mayo, deste presente año de 1614. En la qual se declara de un terremoto, y teblor de la tierra q huvo a donde se destruyeron nueve vilas y aldeas, hundieron en ellas los templos, monasterios, caserías, desde el techo, hasta los suelos, que fue un castigo grande que Dios nos quiso embiar por nuestros pecados, como por la obra lo verán;"Graells, Gabriel; Liberós, Esteban";por Gabriel Graells y Esteban Liberós;Barcelona;;;1614;Spanish;Verse;5023560;Lisbon, Biblioteca Nacional de Portugal F.R. 1430;https://www.bidiso.es/CBDRS/upload/ejemplares/6665/digitalizado/201711171248__ge_4_8_4_52.pdf;;;;
P-1614-TI-0022;1614 Terceira Island Earthquake;Tavares, Juan de;;;Carta embiada por el licenciado Iuan de Tavares presbitero a Gaspar López de Setubar mercader portugués, que reside en la ciudad de Sevilla, en que se le da cuenta del espantoso estrago, y destryción de las villas, lugares, y fortalezas, haziendas, y vidas, que sucedió a veynte y quatro de mayo deste año, causado todo de un breve terremoto, en la isla de la Tercera;;;Seville;;Alonso Rodríguez Gamarra;1614;Spanish;Prose;5012623;Madrid, Biblioteca Nacional de España 1/98459;;;;;foto Schiano
P-1617-BA-0023;1617 Barcelona Flood;;;;Relación verdadera, que truxo Miguel de Valdeosero Correo de a cavallo de su magestad, del lastimoso diluvio, que uvo el mes de noviembre deste año de 1617 en la ciudad de Barcelona, y en otros lugares, y de la pérdida de monesterios, y muertes de muchas gentes, y otras que milagrosamente escaparon, como por la relación se declara;Rodríguez Gamarra, Alonso;por Alonso Rodríguez Gamarra;Seville;;;1618;Spanish;Prose;5019905;Seville, Biblioteca de la Universidad de Sevilla A 111/092(17);https://archive.org/details/A11109217/A11109217v1/page/n3/mode/2up;;;;ho eliminato il riferimento alle immagini, Milena.
P-1617-BA-0024;1617 Barcelona Flood;;;;"Vera relatione del compassionevol diluvio seguito nel mese di novembre dell’anno 1617 nella città di Barcellona &amp; in altri luoghi, con la perdita de' monasteri, morte di molta gente &amp; altri casi miracolosi, come in detta relatione si dichiara, portata da Michele Valdeosero corriero di Sua Maestà Catholica";Malatesta, Marco Tullio;per Marco Tullio Malatesta;Milan;;;1618;Italian;Prose;4027732;Rome, Biblioteca Universitaria Alessandrina XIII a.38 45;;I-1617-BA-0233 / 1617 Barcelona Flood / Scene of Eucharistic Adoration with Soldiers (This document includes);;;Miguel de Valdeosero è citato come 'corriero', non mi pare possa essere identificato con l'autore. Foto Valentina
P-1617-BA-0025;1617 Barcelona Flood;;;;Daños causados por las crecientes de los ríos Ebro, Lobregat, Cinca, y Segre, con la grande tempestad que huvo a tres de Noviembre deste presente año de 1617, en la playa y puerto de la ciudad de Barcelona. Dase cuenta, y se nombran los lugares a donde han cusado mayores daños las avenidas de estos ríos;Mey, Felipe;Felipe Mey;Valencia;;;1617;Spanish;Prose;5111427;Turin, Biblioteca Reale E/313 d.106;;;;;foto Schiano
P-1617-BA-0619;1617 Barcelona Flood;;;;"Vera relatione del compassionevol diluvio seguito nel mese di novembre dell’anno 1617 nella città di Barcellona &amp; in altri luoghi, con la perdita de' monasteri, morte di molta gente &amp; altri casi miracolosi, come in detta relatione si dichiara, portata da Michele Valdeosero corriero di Sua Maestà Catholica";Cochi, Bartolomeo;"in Milano, nella Regia Ducal Corte, per Marco Tullio Malatesta, &amp; in Bologna, presso Bartolomeo Cochi, al Pozzo rosso";Bologna;;Milan;1618;Italian;Prose;;Bologna, Biblioteca Universitaria TAB I F II 424, 1-32, cc. 103r-106v;;I-1617-BA-061A / 1617 Barcelona Flood / Minerva (This document includes);;;foto Matteo
