Record;Event;Archive;Author/sender;Recipient;Date of writing;Start point;Date of receipt;End point;Summary;Language;Related images or documents;Other Events;Link;Analytic tags;Private notes
_M-1627-GA-03AE_;_1627 Gargano Earthquake_;_Naples, Archivio di Stato di Napoli, Segreterie dei Viceré, viglietti originali, 18_;_Frascano, Giuseppe Battista_;_Álvarez de Toledo, Antonio_;_1627-09-20_;_Lettere_;__;_Naples_;_Letter of receipt about the devotions to do in favor of the damaged towns and villages_;_Italian_;__;__;__;_FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Invocazione alla divinità_;__
_M-1627-GA-03AF_;_1627 Gargano Earthquake_;_Naples, Archivio di Stato di Napoli, Segreterie dei Viceré, viglietti originali, 18_;_Troiano, Giovanni_;_Álvarez de Toledo, Antonio_;_1627-09-21_;_Nusco_;__;_Naples_;_Letter of receipt about the devotions to do in favor of the damaged towns_;_Italian_;__;__;__;_COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento_;__
_M-1627-GA-03B0_;_1627 Gargano Earthquake_;_Naples, Archivio di Stato di Napoli, Consiglio Collaterale, Notamenti, 12, f. 30r_;_Consiglio Collaterale_;_Álvarez de Toledo, Antonio_;_1627-09-27_;_Naples_;__;__;_Order for the execution of fiscal suspension for 10 years for the towns and villages of S. Severo, Torremaggiore, Serracapriola, S. Paolo and Apricena_;_Latin_;__;__;__;_RISPOSTE ISTITUZIONALI→Sgravi fiscali_;__
_M-1627-GA-03B1_;_1627 Gargano Earthquake_;_Naples, Archivio di Stato di Napoli, Consiglio Collaterale, Notamenti, 12, f. 56r_;_Consiglio Collaterale_;_Camera della Sommaria_;_1627-11-05_;_Naples_;__;_Naples_;_Order of issueing a new Consulta (written advice)_;_Spanish_;__;__;__;_RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro_;__
_M-1627-GA-03B2_;_1627 Gargano Earthquake_;_Naples, Archivio di Stato di Napoli, Consiglio Collaterale, Notamenti, 13, f. 2r_;_Consiglio Collaterale_;_Udienza of Girifalco_;_1628-10-02_;_Naples_;__;__;_Request for report about the damage caused in Girifalco and granting the extension of the tax exemption for another year_;_Spanish_;__;__;__;_RISPOSTE ISTITUZIONALI→Sgravi fiscali_;__
_M-1627-GA-03B3_;_1627 Gargano Earthquake_;_Naples, Archivio di Stato di Napoli, Regia Camera della Sommaria, Carte Reali, 40, f. 35r_;_Philip IV_;_Álvarez de Toledo, Antonio_;_1634-07-25_;_Madrid_;__;_Naples_;_Order of confirmation of fiscal suspension for San Severo_;_Italian_;__;__;__;_RISPOSTE ISTITUZIONALI→Sgravi fiscali_;__
_M-1627-GA-03B4_;_1627 Gargano Earthquake_;_Madrid, Biblioteca de la Real Academia de la Historia, Colección Salazar y Castro, F-24, f. 150-152_;_Unknown_;__;_[1627-09]_;_Naples_;__;__;_Handwritten report entitled 'Relación del gran terremoto que hubo en la provincia de la Capitana, en Nápoles, donde se asolaron algunas ciudades y otros muchos lugares, y pereció gran número de personas de toda suerte y calidad'. The report is complemented by the Spanish translation of a letter from Troia_;_Spanish_;_M-1627-GA-03B5 / 1627 Gargano Earthquake / This report is the translation of a Letter in Italian addressed to a unspecified _Señor y Hermano_ and is attached to a letter written in Naples_;__;__;__;__
_M-1627-GA-03B5_;_1627 Gargano Earthquake_;_Madrid, Biblioteca de la Real Academia de la Historia, Colección Salazar y Castro, F-24, f. 153-155_;_Unknown_;_Unknown_;_1627-08-14_;_Troia_;__;_Naples_;_This report is the translation of a Letter in Italian addressed to a unspecified _Señor y Hermano_ and is attached to a letter written in Naples_;_Spanish_;_M-1627-GA-03B4 / 1627 Gargano Earthquake / Handwritten report entitled 'Relación del gran terremoto que hubo en la provincia de la Capitana, en Nápoles, donde se asolaron algunas ciudades y otros muchos lugares, y pereció gran número de personas de toda suerte y calidad'. The report is complemented by the Spanish translation of a letter from Troia_;__;__;__;__
_M-1627-GA-03B6_;_1627 Gargano Earthquake_;_Madrid, Biblioteca de la Real Academia de la Historia, Colección Salazar y Castro, N-54, f. 279_;_Unknown_;_Unknown_;_1694-08_;_[Apulia]_;__;_Rome_;_Handwritten copy of a report (presumably in Italian) titled 'Relación, enviada al cardenal Antonio Gaetano, relatándole el terremoto ocurrido en Pulla (Sicilia)'. The sender describes the damages and casualties caused by the earthquake in the main cities and towns of the Capitanata region_;_Spanish_;__;__;__;__;__
_M-1627-GA-068F_;_1627 Gargano Earthquake_;_San Severo, Biblioteca Comunale di San Severo, Manoscritti, 10_;_Lucchino, Antonio_;_Unknown_;_after 1627-07-30_;_San Severo_;__;__;_Chronicle of the earthquake that ruined the city of San Severo and the surrounding lands in 1627._;_Italian_;__;__;__;_INTERPRETAZIONE→Segni premonitori_;_Digitalizzato integralmente l'edizione a stampa del 1930 e accessibile tramite il sito del SBN; manoscritto trascritto dal gruppo&nbsp;CFTI5Med e accessibile nel loro sito._
_M-1627-GA-0691_;_1627 Gargano Earthquake_;_San Severo, Archivio della Parrocchia di S.Nicola di San Severo, Libro dei morti dal 1º luglio 1600 al 23 gennaio 1672 della parrocchia di San Nicola in San Severo_;_De Magris, Ferdinando_;_Unknown_;_1600-1672_;_San Severo_;__;__;_Registering earthquake victims in the parish of St. Nicholas of San Severo._;_Italian_;__;__;__;_FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Enumerazione dei danni e delle vittime_;__
_M-1627-GA-0692_;_1627 Gargano Earthquake_;_Serracapriola, Archivio della Parrocchia di Santa Maria in Sylvis di Serracapriola, fascio 4_;_Palumbo, Alessandro_;_Clero_;_1628-09-07_;_Serracapriola_;__;__;_Letter from the canon of the Santa Maria in Sylvis church to the clergy on the collapse of the house in which he lived due to the earthquake of 1627._;_Italian_;__;__;__;_FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Enumerazione dei danni e delle vittime_;__
_M-1627-GA-0693_;_1627 Gargano Earthquake_;_Serracapriola, Archivio della Parrocchia di Santa Maria in Sylvis di Serracapriola, vol.1, Liber Mortuorum della parrocchia di Santa Maria in Sylvis di Serracapriola per gli anni 1600-1845, Nota sul terremoto del 30 luglio 1627_;_Unknown_;_Unknown_;_1627_;_Serracapriola_;__;__;_Record of deaths in Serracapriola due to earthquake collapse._;_Latin_;__;__;__;_FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Enumerazione dei danni e delle vittime_;__
_M-1627-GA-0694_;_1627 Gargano Earthquake_;_Foggia, Archivio di Stato di Foggia, Dogana delle pecore, serie IV, fascio 195, fasc.7392_;_Regia Camera della Sommaria_;_Marchese di San Giuliano_;_1628-02-19_;_San Severo_;__;__;_Copy of the royal commission granting certain affected localities a ten-year immunity for the payment of debts and taxes._;_Italian_;_M-1627-GA-0697 / 1627 Gargano Earthquake / The Regia Camera della Sommaria received a note with reports on the earthquake in Apulia, in which it was asked to issue a Consulta (written advice) on the decision-making process. (This document is followed by)_;__;__;_RISPOSTE ISTITUZIONALI→Sgravi fiscali_;__
_M-1627-GA-0697_;_1627 Gargano Earthquake_;_Foggia, Archivio di Stato di Foggia, Dogana delle pecore, serie IV, fascio 195, fasc.7392_;_Barrile, Giovan Angelo_;_Regia Camera della Sommaria_;_1627-09-07_;_Naples_;__;_Naples_;_The Regia Camera della Sommaria received a note with reports on the earthquake in Apulia, in which it was asked to issue a Consulta (written advice) on the decision-making process._;_Spanish_;_M-1627-GA-0694 / 1627 Gargano Earthquake / Copy of the royal commission granting certain affected localities a ten-year immunity for the payment of debts and taxes. (This document is a follow-up of);M-1627-GA-0699 / 1627 Gargano Earthquake / Report on the earthquake damage, institutional interventions and devotional responses of the population.&nbsp; (This document has attachment(s));M-1627-GA-069A / 1627 Gargano Earthquake / Report on the handling of the disaster by the population and local officials. (This document has attachment(s))_;__;__;_RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro_;__
_M-1627-GA-0699_;_1627 Gargano Earthquake_;_Foggia, Archivio di Stato di Foggia, Dogana delle pecore, serie IV, fascio 195, fasc.7392_;_Strambone, Giovanni Vincenzo_;_Barrile, Giovan Angelo_;_1627-08-15_;_Lucera_;__;_Naples_;_Report on the earthquake damage, institutional interventions and devotional responses of the population. _;_Italian_;_M-1627-GA-0697 / 1627 Gargano Earthquake / The Regia Camera della Sommaria received a note with reports on the earthquake in Apulia, in which it was asked to issue a Consulta (written advice) on the decision-making process. (This document is attached to);M-1627-GA-069A / 1627 Gargano Earthquake / Report on the handling of the disaster by the population and local officials. (This document has attachment(s))_;__;__;_SENSORIALITÀ E MATERIALITÀ→Odori del disastro_;__
_M-1627-GA-069A_;_1627 Gargano Earthquake_;_Foggia, Archivio di Stato di Foggia, Dogana delle pecore, serie IV, fascio 195, fasc.7392_;_Crescentio, Angelo_;_Barrile, Giovan Angelo_;_1627-08-11_;_San Severo_;__;_Naples_;_Report on the handling of the disaster by the population and local officials._;_Italian_;_M-1627-GA-0697 / 1627 Gargano Earthquake / The Regia Camera della Sommaria received a note with reports on the earthquake in Apulia, in which it was asked to issue a Consulta (written advice) on the decision-making process. (This document is attached to);M-1627-GA-0699 / 1627 Gargano Earthquake / Report on the earthquake damage, institutional interventions and devotional responses of the population.&nbsp; (This document is attached to)_;__;__;_SENSORIALITÀ E MATERIALITÀ→Odori del disastro_;__
_M-1627-GA-06BA_;_1627 Gargano Earthquake_;_San Severo, Archivio della Parrocchia di San Giovanni Battista di San Severo, Registri Parrocchiali, vol.1, Registro dei matrimoni, battesimi, morti, dal 1610 al 1640, cc.149-150_;_De Magris, Ferdinando_;__;_1627_;_San Severo_;__;__;_Parish register of earthquake victims._;_Italian_;__;__;__;_FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Enumerazione dei danni e delle vittime_;__
_M-1627-GA-06BB_;_1627 Gargano Earthquake_;_Foggia, Archivio di Stato di Foggia, Dogana delle pecore, serie IV, fascio 201, fasc.7575_;_Galatola, Antonio Marco_;_Auditor of the Foggia Sheep Custom House_;_1631_;__;__;__;_Complaint by the convent procurator against Giovanni Cola Fania for illegally appropriating a building destroyed by the earthquake._;_Italian_;__;__;__;_RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro_;__
_M-1627-GA-06BC_;_1627 Gargano Earthquake_;_Foggia, Archivio di Stato di Foggia, Dogana delle pecore, serie IV, fascio 233, fasc.8614_;_Unknown_;__;_1629-03-25_;_Foggia_;__;__;_Giuseppe and Giuliano Marocco take Giovanni Berardino Troiano of San Severo to court. His house in San Severo is still in ruins due to the earthquake and he cannot appear in court._;_Italian_;__;__;__;_RISPOSTE ISTITUZIONALI→Conflitti di giurisdizione_;__
_M-1627-GA-06BD_;_1627 Gargano Earthquake_;_Foggia, Archivio di Stato di Foggia, Dogana delle pecore, serie IV, fascio 233, fasc.8614_;_Unknown_;__;_1629-04-04_;_Foggia_;__;__;_Petition of the cloth merchant Pringipio Bradice on behalf of his uncle Giovanni Berardino Troiano of San Severo to obtain a postponement of his lawsuit following the earthquake that ruined part of his estate._;_Italian_;__;__;__;_RISPOSTE ISTITUZIONALI→Conflitti di giurisdizione_;__
_M-1627-GA-06BE_;_1627 Gargano Earthquake_;_San Severo, Archivio della Parrocchia di S.Nicola di San Severo, Antonio Irmici, Storia della parrocchia, sec.XIX_;_Irmici, Antonio_;__;_1979 typewritten copy_;_San Severo_;__;__;_Memory of how the earthquake affected the religious property of San Severo._;_Italian_;__;__;__;_COMUNITÀ/ EFFETTI SOCIALI→Rievocazione del disastro a distanza di tempo_;__
_M-1627-GA-06BF_;_1627 Gargano Earthquake_;_Mantua, Archivio di Stato di Mantova, Archivio Gonzaga, b. 828_;_Barone, Muzio_;_Sbriggio_;_1627-08-03_;_Naples_;__;_Mantua_;_Earthquake also felt in Naples. First news from Naples of the devastation in Puglia._;_Italian_;__;__;__;_COMUNITÀ/ EFFETTI SOCIALI→Rumours_;__
_M-1627-GA-06C2_;_1627 Gargano Earthquake_;_Naples, Archivio di Stato di Napoli, Consiglio Collatterale, Consiglio, Notamenti, reg.12_;_Consiglio Collaterale_;__;_1627-09-13_;_Naples_;__;__;_Prison sentence remission for debtors victims of the San Severo earthquake._;_Italian_;__;__;__;__;__
_M-1627-GA-06C3_;_1627 Gargano Earthquake_;_Foggia, Biblioteca Provinciale dei Cappuccini di Foggia, s.s., Gabriele da Cerignola, Memoria della fondazione di questa nostra provincia dei Cappuccini di Sant’Angelo e di suoi luoghi con il catalogo di tutti li vicari seu ministri provinciali, che l’hanno governata_;_Cerignola, Gabriele da_;__;_1660_;_Foggia_;__;__;_First-person narration by the priest of the destruction suffered by the churches and the inhabitants of the various affected areas._;_Italian_;__;__;__;_COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento_;__
_M-1627-GA-06C4_;_1627 Gargano Earthquake_;_Troia, Archivio Vescovile di Troia, cc.n.n., V. Aceto, Troia sagra tesoro del Capitolo cattedrale di Troia_;_Unknown_;__;_1720-1730_;_Troia_;__;__;_Recalling the suffering of the victims of the earthquake that struck Troy._;_Italian_;__;__;__;_COMUNITÀ/ EFFETTI SOCIALI→Rievocazione del disastro a distanza di tempo_;__
_M-1627-GA-06C5_;_1627 Gargano Earthquake_;_Vatican City, Archivio Segreto Vaticano, Sacra Congregatio Concilii, Relationes dioecesium, b.465 A, Lucerina I_;_Suardi, Fabrizio_;_Congregation for the Council_;_1629-01-18 or 1634-06-20_;_Lucera_;__;_Rome_;_The bishop of the Lucera diocese made a request to the Congregation of the Council to reduce the expenses of masses in Apricena, where the number of priests also decreased due to the diocese's difficulty in satisfying the debts and charges imposed by the Tridentine Congregation, which had become burdensome at that time of great hardship._;_Latin_;__;__;__;_RISPOSTE ISTITUZIONALI→Sgravi fiscali_;__
_M-1627-GA-06C6_;_1627 Gargano Earthquake_;_Vatican City, Archivio Segreto Vaticano, Sacra Congregatio Concilii, Relationes dioecesium, b.743 A, Sancti Severi I_;_Unknown_;_Congregation for the Council_;_1647-03-23_;_Rome; San Severo_;__;_Rome_;_Ten years after the earthquake, the bishop's report informed of the complete reconstruction of the city of San Severo and its churches._;_Latin_;__;__;__;_RISPOSTE ISTITUZIONALI→Pianificazione urbana e architettonica_;__
_M-1627-GA-06C9_;_1627 Gargano Earthquake_;_Vatican City, Archivio Segreto Vaticano, Sacra Congregatio Concilii, Relationes dioecesium, b.819 A, Troiana I_;_Sangro, Antonio de_;_Congregation for the Council_;_1690-12-20_;_Troia_;__;_Rome_;_Bishop Antonio de Sangro repaired the parish church in Troia at his own expense._;_Latin_;__;__;__;_RISPOSTE ISTITUZIONALI→Pianificazione urbana e architettonica_;__
_M-1628-MA-03B7_;_1628 Malaga Flood_;_Madrid, Biblioteca de la Real Academia de la Historia, Coleccion Salazar y Castro, F-23, f. 21-28 (2ª foliación)_;_Hinojales y Ribera, Juan Bautista de_;_Unknown_;_1628_;__;__;__;_Handwritten copy of a report entitled 'Relación de la espantosa ruina y lamentable suceso de las muertes y estrago que causó un impensado diluvio en la ciudad de Málaga, sábado en la noche, que se contaron 23 del mes de septiembre de este año 1628'. In addition to the damage caused by the flood, the author describes the division of tasks among the members of the city council_;_Spanish_;__;__;__;__;__
_M-1629-ME-03B8_;_1629 Mexico Flood_;_Archivum Romanum Societatis Iesu, Provincia Mexicana, vol. 2, f. 373r_;_Vitelleschi, Mutio_;_Ramírez, Pedro_;_1630-11-06_;_Rome_;__;_Mexico City_;_A copy of a letter expressing his regrets about the flooding of the lagoon and hopes that it has stopped_;__;__;__;__;__;__
_M-1629-ME-03B9_;_1629 Mexico Flood_;_Archivum Romanum Societatis Iesu, Provincia Mexicana, vol. 2, f. 373v_;_Vitelleschi, Mutio_;_Acevedo, Diego de_;_1630-11-06_;_Rome_;__;_Mexico City_;_A copy of letter expressing his regrets about the flooding of the lagoon and hopes that it has stopped_;__;__;__;__;__;__
_M-1631-VE-03BA_;_1631 Vesuvius Eruption_;_Archivio di Stato di Napoli, Consiglio Collaterale, Notamenti, 24, f. 156r_;_Consiglio Collaterale_;_Unknown_;_1631-12-16_;_Naples_;__;__;_Order of the viceroy to hold processions and prayers and to suspend the judicial trials_;_Italian_;__;__;__;__;__
_M-1631-VE-03BB_;_1631 Vesuvius Eruption_;_Archivio di Stato di Napoli, Consiglio Collaterale, Notamenti, 24, f. 157v_;_Consiglio Collaterale_;_Unknown_;_1631-12-16_;_Naples_;__;__;_Devotional procession with the participation of the viceroy and the courts_;_Italian_;__;__;__;__;__
_M-1631-VE-03BC_;_1631 Vesuvius Eruption_;_Archivio di Stato di Napoli, Consiglio Collaterale, Notamenti, 24, f. 157v_;_Consiglio Collaterale_;_Unknown_;_1631-12-16_;_Naples_;__;__;_Procession with the participation of the viceroy, cardinal and the courts_;_Italian_;__;__;__;__;__
_M-1631-VE-03BD_;_1631 Vesuvius Eruption_;_Archivio di Stato di Napoli, Segreterie dei Viceré, viglietti originali, 34_;_Governor of Terra d'Otranto_;_Acevedo y Zúñiga, Manuel de_;_1631-12-17_;_Lecce_;__;_Naples_;_Report on the volcanic ashes fallen on the city_;_Spanish_;__;__;__;__;__
_M-1631-VE-03BE_;_1631 Vesuvius Eruption_;_Archivio di Stato di Napoli, Segreterie dei Viceré, viglietti originali, 34_;_Governor of Terra di Bari_;_Acevedo y Zúñiga, Manuel de_;_1631-12-20_;_Trani_;__;_Naples_;_Report on the volcanic ashes fallen in the city and about the start of penitential processions_;_Spanish_;__;__;__;__;__
_M-1631-VE-03BF_;_1631 Vesuvius Eruption_;_Archivio di Stato di Napoli, Segreterie dei Viceré, viglietti originali, 34_;_Molina, Gaspar de_;_Marquis of Vico_;_1631-12-20_;_Naples_;__;__;_Assignment to verify the damage caused by the ashes of Vesuvius in the towns of Monteforte and Avellino_;_Spanish_;__;__;__;__;__
_M-1631-VE-03C0_;_1631 Vesuvius Eruption_;_Archivio di Stato di Napoli, Segreterie dei Viceré, viglietti originali, 34_;_Molina, Gaspar de_;_Judge of Capua_;_1631-12-20_;_Naples_;__;_Capua_;_Assignment to verify the damage caused by the ashes of Vesuvius in the towns of Monteforte and Avellino_;_Spanish_;__;__;__;__;__
_M-1631-VE-03C1_;_1631 Vesuvius Eruption_;_Archivio di Stato di Napoli, Segreterie dei Viceré, viglietti originali, 34_;_Dogana of Foggia_;_Acevedo y Zúñiga, Manuel de_;_1631-12-23_;_Foggia_;__;_Naples_;_Report and petition on the difficulty of sheep pasture because of the ashes of the eruption_;_Italian_;__;__;__;__;__
_M-1631-VE-03C2_;_1631 Vesuvius Eruption_;_Archivio di Stato di Napoli, Segreterie dei Viceré, viglietti originali, 34_;_Acevedo y Zúñiga, Manuel de_;_Dogana of Foggia_;_1631-12-28_;_Naples_;__;_Foggia_;_Letter of receipt of the damages suffered in Foggia for the eruption_;_Spanish_;__;__;__;__;__
_M-1631-VE-03C3_;_1631 Vesuvius Eruption_;_Archivio di Stato di Napoli, Regia Camera della Sommaria, viglietti originali, 9_;_Camera della Sommaria_;_Unknown_;_1632-01-13_;_Naples_;__;__;_Resumption of court activity and activation of intervention measures to manage the emergency_;_Italian_;__;__;__;__;__
_M-1631-VE-03C4_;_1631 Vesuvius Eruption_;_Archivio di Stato di Napoli, Regia Camera della Sommaria, Notamentorum, 97, f. 50v_;_Camera della Sommaria_;_Unknown_;_1632-02-06_;_Naples_;__;__;_The Regio Fisco instructs the Sommaria to provide the suspension of the tax for the towns and villages damaged by Vesuvius_;_Italian_;__;_1627 Gargano Earthquake_;__;__;__
_M-1631-VE-03C5_;_1631 Vesuvius Eruption_;_Archivio di Stato di Napoli, Consiglio Collaterale, Notamenti, 25, f. 9v_;_Consiglio Collaterale_;_Unknown_;_1632-03-01_;_Naples_;__;__;_Order to send fiscal agents to the towns and villages damaged by the eruption for the verification of the damages_;_Italian_;__;__;__;__;__
_M-1631-VE-03C6_;_1631 Vesuvius Eruption_;_Archivio di Stato di Napoli, Consiglio Collaterale, Notamenti, 25, ff. 32v-33r_;_Consiglio Collaterale_;_Unknown_;_1632-03-29_;_Naples_;__;__;_Order for the execution of fiscal suspension for 10 years for the towns and villages Ottaviano, Lauro, Palma, Sarno, Striano, Roccarainola, Cicciano, terra Trocchia Pollena, Boscoreale, Torre Annunziata, Torre del Greco, san Giorgio a Cremano_;_Italian_;__;__;__;__;__
_M-1631-VE-03C7_;_1631 Vesuvius Eruption_;_Archivio di Stato di Napoli, Consiglio Collaterale, Curiae, 109, ff. 46v-47r_;_Consiglio Collaterale_;_Governor of Somma_;_1632-03-31_;_Naples_;__;__;_Order to assess the economic damages and to elect two wealthy persons to support the necessary expenses; send to the Collaterale a detailed report_;_Italian_;__;__;__;__;__
_M-1631-VE-03C8_;_1631 Vesuvius Eruption_;_Archivio di Stato di Napoli, Consiglio Collaterale, Curiae, 109, ff. 47v-48r_;_Consiglio Collaterale_;_Marquis of Vico_;_1632-03-31_;_Naples_;__;__;_Order to go to Somma and to provide, together with the ordinary engineer of the roads, to protect the valleys destroyed by the eruption_;_Italian_;__;__;__;__;__
_M-1631-VE-03C9_;_1631 Vesuvius Eruption_;_Archivio di Stato di Napoli, Regia Camera della Sommaria, viglietti originali, 9_;_Camera della Sommaria_;_Unknown_;_1632-05-11_;_Naples_;__;__;_Organization of the procession for San Gennaro for May 20th_;_Italian_;__;__;__;__;__
_M-1631-VE-03CA_;_1631 Vesuvius Eruption_;_Archivio di Stato di Napoli, Regia Camera della Sommaria, Consultazioni, 38, ff. 142r-144r_;_Camera della Sommaria_;_Unknown_;_1632-05-19_;_Naples_;__;__;_Consulta (written advice) on the verification of damages in the towns and villages of Candelaro, Ponte Albanito, Castiglione, Casalnovo, le Cave, la Procina, Rignano, Sant’Andrea, Lesina and la Guardiola following the request of the Dogana of Foggia for a reduction in taxes_;_Italian_;__;__;__;__;__
_M-1631-VE-03CB_;_1631 Vesuvius Eruption_;_Archivio di Stato di Napoli, Consiglio Collaterale, Curiae, 110, ff. 18v- 19r-v_;_Consiglio Collaterale_;_Governor of Principato Ultra; Governor of Calabria Citra; Governor of Calabria Ultra; Governor of Abruzzo; Governor of Terra de Bari; Governor of Terra d’Otranto; Governor of Capitanata; Governor of Contado del Molise; Governor of Principato Citra; Governor of Basilicata_;_1632-06-18_;_Naples_;__;__;_Order of perpetual celebration to Christ and the Virgin for every Sunday of the year_;_Italian_;__;__;__;__;__
_M-1631-VE-03CC_;_1631 Vesuvius Eruption_;_Archivio di Stato di Napoli, Segreterie dei Viceré, viglietti originali, 37_;_Morra, Giovanni Battista_;_Acevedo y Zúñiga, Manuel de_;_1632-10-29_;__;_1632-10-30_;_Naples_;_Request for an assignment for the financial support of the family damaged by the eruption_;_Italian_;__;__;__;__;__
_M-1631-VE-03CD_;_1631 Vesuvius Eruption_;_Archivio di Stato di Napoli, Consiglio Collaterale, Curiae, 109, ff. 56v-57r_;_Consiglio Collaterale_;_Dogana of Foggia_;_1632-10-30_;_Naples_;__;_Foggia_;_Consulta (written advice) on the maintenance of the ordinary collection of taxes in the towns and villages under the jurisdiction of the Dogana of Foggia with the agreement of a deferred payment_;_Italian_;__;__;__;__;__
_M-1631-VE-03CE_;_1631 Vesuvius Eruption_;_Archivio di Stato di Napoli, Regia Camera della Sommaria, Carte Reali, 2, ff. 197r-v_;_Philip IV_;_Acevedo y Zúñiga, Manuel de_;_1632-12-31_;_Madrid_;__;_Naples_;_Order of assignment to the Collaterale and the Sommaria about the measures to be adopted for the damaged towns and villages_;_Spanish_;__;__;__;__;__
_M-1631-VE-03CF_;_1631 Vesuvius Eruption_;_Archivio di Stato di Napoli, Consiglio Collaterale, Curiae, 110, ff. 74r-76r_;_Consiglio Collaterale_;_Governor of Capitanata; Governor of Contado di Molise_;_1635-03-10_;_Naples_;__;__;_Order of celebration of perpetual prayers for every Sunday of the year_;_Italian_;__;__;__;__;__
_M-1631-VE-0676_;_1631 Vesuvius Eruption_;_Archivo General de Simancas, Estado, Legajo 8793, fols. 297r-298r_;_Unknown_;_Consejo de Estado_;_1631-12-16-1631-12-23_;_Naples_;__;_Madrid_;_In this paper, titled 'Copia de las cartas que vinieron de Nápoles que contienen los subçesos y destruçion que hiço el bolcan del monte de Somma', are copied a few reports sent to the Viceroy, apparently, from 16 to 23 december 1631. These reports provide information on the physical features of the eruption, the early hypotheses of witnesses regarding its origin and the _popular_ rumours, the reactions of the population and of the authorities_;_Spanish_;__;__;__;_INTERPRETAZIONE→Osservazioni empiriche_;__
_M-1638-CA-03D0_;_1638 Calabria Earthquake_;_Naples, Archivio di Stato di Napoli, Cancelleria e Consiglio, Collaterale, Cancelleria, Curiae, busta 112, ff.18v-19v_;_Consiglio Collaterale_;_Capacelatro, Ettore_;_1638-04-22_;_Naples_;__;__;_Appointment of special commissioner on earthquake - Ettore Capacelatro_;_Italian_;__;__;__;_RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro_;__
_M-1638-CA-03D1_;_1638 Calabria Earthquake_;_Naples, Archivio di Stato di Napoli, Cancelleria e Consiglio, Collaterale, Cancelleria, Curiae, busta 112, ff.66r-73v_;_Consiglio Collaterale_;_Núñez de Guzmán, Ramiro_;_1639-12-17_;_Naples_;__;__;_Collaterale Council meeting notes_;_Italian_;__;__;__;_RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro_;_Report on damages from epicenter_
_M-1638-CA-03D2_;_1638 Calabria Earthquake_;_Madrid, Biblioteca de la Real Academia de la Historia, Colección Salazar y Castro, A-102, f. 91r-v_;_Cybo d'Este, Carlo_;_Méndez de Haro, Luis_;_1652-09-21_;_Massa (Tuscany)_;__;_Madrid_;_As the feudal Lord of Ajello, a town in Calabria, the Prince of Massa, on behalf of his subjects, begs the Viceroy to grant tax relief to the town still suffering the consequences of the earthquake, such as poverty and depopulation. To reinforce his request, the prince recalled that during the 1647 revolt, the Ajello inhabitants were loyal to Spain._;_Italian_;_M-1638-CA-03D3 / 1638 Calabria Earthquake / The Royal officer confirms that the town of Ajello was damaged by the earthquake and thatthat during the 1647 revolt, the Ajello inhabitants were loyal to Spain_;__;__;__;__
_M-1638-CA-03D3_;_1638 Calabria Earthquake_;_Madrid, Biblioteca de la Real Academia de la Historia, Colección Salazar y Castro, A-102, f. 92r-v_;_Capecelatro, Francesco_;_Méndez de Haro, Luis_;_1651-12-02_;_Cosenza_;__;_Madrid_;_The Royal officer confirms that the town of Ajello was damaged by the earthquake and thatthat during the 1647 revolt, the Ajello inhabitants were loyal to Spain_;_Italian_;_M-1638-CA-03D2 / 1638 Calabria Earthquake / As the feudal Lord of Ajello, a town in Calabria, the Prince of Massa, on behalf of his subjects, begs the Viceroy to grant tax relief to the town still suffering the consequences of the earthquake, such as poverty and depopulation. To reinforce his request, the prince recalled that during the 1647 revolt, the Ajello inhabitants were loyal to Spain._;__;__;__;__
_M-1638-CA-06D1_;_1638 Calabria Earthquake_;_Simancas, Archivo General de Simancas, Secretarías Provinciales, Nápoles, legajo 19, s.f._;_Consejo de Italia_;_Philip IV_;_1638-07-30_;_Madrid_;__;__;_Notice from the Consejo de Italia regarding the dispatch from the Viceroy of Naples, Duke Medina de las Torres, of 12 April warning of the very serious damage caused by the earthquake and the first measures taken._;_Spanish_;__;__;__;_RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro_;__
_M-1638-CA-06D2_;_1638 Calabria Earthquake_;_Simancas, Archivo General de Simancas, Secretarías Provinciales, Nápoles, legajo 19, s. f._;_Consejo de Italia_;_Philip IV_;_1638-08-12_;_Madrid_;__;__;_Notice of the letter from the lieutenant of the Camera della Sommaria, Alonso de la Carrera, representing to the king the heavy effects that the destruction would have on the kingdom's coffers due to the sharp decrease in tax revenues and customs duties._;_Spanish_;__;__;__;_INTERPRETAZIONE→Punizione per i peccati degli uomini_;__
