Record;Event;Artist;Description;Date;Museum/Institution;Medium and support;Dimensions;Related images or documents;Author;Recipient/dedicatee;Title;Printer;Place;Reference copy-ies;Inscriptions;Link;Analytic tags;Private notes
I-1631-VE-0262;1631 Vesuvius Eruption;Unknown;Coat of Arms of Giovan Battista Valenzuela Velázquez;1632;;Woodcut;;P-1631-VE-0077 / 1631 Vesuvius Eruption / Il Vesuvio acceso. Descritto da Vincenzo Bove per l’illustrissimo signore Gio. Battista Velenzuela Velazquez, primo regente per la Maestà Cath. nel Conseg. Supremo d’Italia (This document is included in);Bove, Vincenzo;Velenzuela Velazquez, Giovan Battista;Il Vesuvio acceso. Descritto da Vincenzo Bove per l’illustrissimo signore Gio. Battista Velenzuela Velazquez, primo regente per la Maestà Cath. nel Conseg. Supremo d’Italia;Roncagliolo, Secondino;Naples;Naples, Biblioteca Nazionale Vittorio Emanuele III V.F. 153 B 4 (0001);;https://books.google.es/books?id=0Fgyb5Fy2rsC&printsec=frontcover&hl=ca&source=gbs_ge_summary_r&cad=0;;
I-1631-VE-0263;1631 Vesuvius Eruption;Unknown;Erupting Mountain with Isaiah Verset;1632;;Woodcut;;"I-1631-VE-025B / 1631 Vesuvius Eruption / Erupting Mountain with Isaiah Verset (Same image as); I-1631-VE-0282 / 1631 Vesuvius Eruption / Erupting Mountain with Isaiah Verset (Same image as); I-1631-VE-0288 / 1631 Vesuvius Eruption / Erupting Mountain with Isaiah Verset (Same image as); I-1631-VE-0528 / 1631 Vesuvius Eruption / Erupting Mountain with Isaiah Verset (Same image as); P-1631-VE-0078 / 1631 Vesuvius Eruption / Il Vesuvio ardente. Di Giovanni Apolloni all’illustrissimo signor conte Mario Carpegna (This document is included in)";Apolloni, Giovanni;Carpegna, Mario;Il Vesuvio ardente. Di Giovanni Apolloni all’illustrissimo signor conte Mario Carpegna;Longo, Egidio;Naples;Rome, Biblioteca Nazionale Centrale MISC. Val.911.12;;https://books.google.es/books?vid=IBNR:CR000871875&redir_esc=y;;
I-1631-VE-0264;1631 Vesuvius Eruption;Unknown;Coat of Arms of the Marquis Juan Enríquez de Herrera;1632;;Woodcut;;P-1631-VE-0072 / 1631 Vesuvius Eruption / I funesti avvenimenti del Vesuvio, principiati martedì 16 di decembre MDCXXXI. Descritti dal dottor Gio. Andrea Garsia (This document is included in);Garsia, Giovan Andrea;de Herrera, Juan Enríquez (Regent of the Cancellaria of the Consiglio Collaterale);I funesti avvenimenti del Vesuvio, principiati martedì 16 di decembre MDCXXXI. Descritti dal dottor Gio. Andrea Garsia;Longo, Egidio;Naples;Naples, Biblioteca Nazionale Vittorio Emanuele III XXIX*B66(15);;;;
I-1631-VE-0265;1631 Vesuvius Eruption;Unknown;Coat of Arms of the Cardinal Lelio Biscia;1632;;Woodcut;;P-1631-VE-0079 / 1631 Vesuvius Eruption / Incendio del monte Vesuvio. Di Pietro Castelli romano, lettore nello Studio di Roma già di Filosofia e ora di Medicina, nel quale si tratta di tutti gli luoghi ardenti, delle differenze delli fuoghi, loro segni, cagioni, prognostici e rimedii, con metodo distinto, historico e filosofico. Con la giunta d’alcuni quesiti circa lo stato presente del Vesuvio e le loro esplicationi e annotationi (This document is included in);Castelli, Pietro;Biscia, Lelio;Incendio del monte Vesuvio. Di Pietro Castelli romano, lettore nello Studio di Roma già di Filosofia e ora di Medicina, nel quale si tratta di tutti gli luoghi ardenti, delle differenze delli fuoghi, loro segni, cagioni, prognostici e rimedii, con metodo distinto, historico e filosofico. Con la giunta d’alcuni quesiti circa lo stato presente del Vesuvio e le loro esplicationi e annotationi;Mascardi, Giacomo;Rome;Rome, Biblioteca Nazionale Centrale 7. 3.I.6;;https://books.google.es/books?id=8G16Nef-oQEC&printsec=frontcover&hl=ca&source=gbs_ge_summary_r&cad=0;;
I-1631-VE-0266;1631 Vesuvius Eruption;Unknown;Vesuvius smoking;1632;;Woodcut;;P-1631-VE-007B / 1631 Vesuvius Eruption / L’incendii del monte Vesuvio, e delle straggi e rovine che ha fatto ne’ tempi antichi e moderni insino a 3 di marzo 1632. Di D. Gioseffo Mormile napolitano (This document is included in);Mormile, Giuseppe;Villani, Cesare;L’incendii del monte Vesuvio, e delle straggi e rovine che ha fatto ne’ tempi antichi e moderni insino a 3 di marzo 1632. Di D. Gioseffo Mormile napolitano;Longo, Egidio;Naples;Naples, Biblioteca Nazionale Vittorio Emanuele III XXIX*A90 (3);;;;
I-1631-VE-0267;1631 Vesuvius Eruption;Unknown;St Gennaro;1632;;Woodcut;;"P-1631-VE-007C / 1631 Vesuvius Eruption / L’incendio del monte Vesuvio. Di Francesco Bernaudo al santissimo martire Gianuario. Diviso in due parti: nella prima si discorre degli effetti del detto incendio in cap. XX; nella seconda delle cagioni in cap. XXVIII. Con dimostrarsi il tempo che durerà il detto incendio, i rimedii che vi sarebbono per estinguerlo, i futuri mali che ne predice, e altre cose curiosissime come dal racconto de’ capitoli nella seguente facciata appare (This document is included in)";Bernaudo, Francesco;Saint Januar;"L’incendio del monte Vesuvio. Di Francesco Bernaudo al santissimo martire Gianuario. Diviso in due parti: nella prima si discorre degli effetti del detto incendio in cap. XX; nella seconda delle cagioni in cap. XXVIII. Con dimostrarsi il tempo che durerà il detto incendio, i rimedii che vi sarebbono per estinguerlo, i futuri mali che ne predice, e altre cose curiosissime come dal racconto de’ capitoli nella seguente facciata appare";Scoriggio, Lazzaro;Naples;Rome, Biblioteca Nazionale Centrale MISC. Val.910.5;;https://books.google.es/books?id=JXyz4p7xMdYC&printsec=frontcover&hl=ca&source=gbs_ge_summary_r&cad=0;;
I-1631-VE-0268;1631 Vesuvius Eruption;Unknown;Erupting Mountain;1632;;Woodcut;;P-1631-VE-007E / 1631 Vesuvius Eruption / La cinquantesima e bellissima relatione del monte Vesuvio in stile accademico. Stampata alli quindici di marzo MDCXXXII. Al molto illustre signore e padron mio osservandissimo il signor Rafaelle Ruscelai, Giovanni Orlandi D.D.D. (This document is included in);Unknown;Ruccellai, Raffaele;La cinquantesima e bellissima relatione del monte Vesuvio in stile accademico. Stampata alli quindici di marzo MDCXXXII. Al molto illustre signore e padron mio osservandissimo il signor Rafaelle Ruscelai, Giovanni Orlandi D.D.D.;Beltrano, Ottavio;Naples;Naples, Biblioteca Nazionale Vittorio Emanuele III XXIX*B64(9);;;;
I-1631-VE-0269;1631 Vesuvius Eruption;Unknown;Erupting Mountain with Isaiah Verset;1632;;Woodcut;;"I-1631-VE-025B / 1631 Vesuvius Eruption / Erupting Mountain with Isaiah Verset (Same image as); I-1631-VE-0282 / 1631 Vesuvius Eruption / Erupting Mountain with Isaiah Verset (Same image as); I-1631-VE-0288 / 1631 Vesuvius Eruption / Erupting Mountain with Isaiah Verset (Same image as); I-1631-VE-0528 / 1631 Vesuvius Eruption / Erupting Mountain with Isaiah Verset (Same image as); P-1631-VE-007F / 1631 Vesuvius Eruption / La crudelissima guerra, danni e minaccie del superbo campione Vesuvio. Descritta dal signor Pompeo Fucci anconitano per l’arrivo dell’ill.mo e ecc.mo signore don Luigi Gonzaga, principe d’Imperio e di Castiglione, marchese di Medole, signore della rocca di Solferino, grande d’Ispagna e libero baron boemo (This document is included in)";Fucci, Pompeo;Gonzaga, Luigi;La crudelissima guerra, danni e minaccie del superbo campione Vesuvio. Descritta dal signor Pompeo Fucci anconitano per l’arrivo dell’ill.mo e ecc.mo signore don Luigi Gonzaga, principe d’Imperio e di Castiglione, marchese di Medole, signore della rocca di Solferino, grande d’Ispagna e libero baron boemo;Longo, Egidio;Naples;Naples, Biblioteca Nazionale Vittorio Emanuele III XXIX*B66 (14);;;;
I-1631-VE-026A;1631 Vesuvius Eruption;Unknown;Vesuvius smoking;1632;;Woodcut;;P-1631-VE-0080 / 1631 Vesuvius Eruption / La ristampata lettera con aggiunta di molte cose notabili, del signor Nicolò Maria Oliva scritta all’illustriss. signor abbate D. Flavio Ruffo, nella quale dà vera e minuta relatione delli segni, terremoti, incendii del monte Vessuvio, cominciando dalli 10 del mese di decembre 1631 per insino alli 16 di gennaro 1632 (This document is included in);Oliva, Nicolò Maria;Ruffo, Flavio;La ristampata lettera con aggiunta di molte cose notabili, del signor Nicolò Maria Oliva scritta all’illustriss. signor abbate D. Flavio Ruffo, nella quale dà vera e minuta relatione delli segni, terremoti, incendii del monte Vessuvio, cominciando dalli 10 del mese di decembre 1631 per insino alli 16 di gennaro 1632;Longo, Egidio;Naples;Naples, Biblioteca Nazionale Vittorio Emanuele III XXIX*B66(11);;;;
I-1631-VE-026B;1631 Vesuvius Eruption;Unknown;The Virgin with Child over a Burned City;1632;;Woodcut;;P-1631-VE-0081 / 1631 Vesuvius Eruption / La seconda parte delli avisi. Del revederendo padre Pontano hibernese, habitante nella Croce di Palazzo. Di tutto quello ch’è successo in tutta la seconda settimana, e così l’avrete d’ogni sette in sette giorni. Ottavio Beltrano la dedica e dona al medesimo padre (This document is included in);[Milesio, Giacomo];;La seconda parte delli avisi. Del revederendo padre Pontano hibernese, habitante nella Croce di Palazzo. Di tutto quello ch’è successo in tutta la seconda settimana, e così l’avrete d’ogni sette in sette giorni. Ottavio Beltrano la dedica e dona al medesimo padre;Beltrano, Ottavio;Naples;Naples, Biblioteca Nazionale Vittorio Emanuele III XXIX*B66(21);;;;
I-1631-VE-026C;1631 Vesuvius Eruption;Unknown;Coat of Arms of Alfonso Cappelletti;1632;;Woodcut;;P-1631-VE-0082 / 1631 Vesuvius Eruption / La strage di Vesuvio. Lettera scritta all’illustrissimo abbate Perretti dal suo secretario (This document is included in);Benigni, Domenico;Peretti Damasceni, Francesco;La strage di Vesuvio. Lettera scritta all’illustrissimo abbate Perretti dal suo secretario;Longo, Egidio;Naples;Naples, Biblioteca Nazionale Vittorio Emanuele III XXIX*C60(23);;;;
I-1631-VE-026D;1631 Vesuvius Eruption;Unknown;Vesuvius smoking;1632;;Woodcut;;"P-1631-VE-0085 / 1631 Vesuvius Eruption / Lettera del signor Nicolò Maria Oliva scritta all’illustriss. signor abbate D. Flavio Ruffo, nella quale dà vera e minuta relatione delli segni, terremoti, incendii del monte Vessuvio, cominciando dalli 10 del mese di decembre 1631 per insino alli 5 di gennaro 1632 (This document is included in); P-1631-VE-0086 / 1631 Vesuvius Eruption / Lettera del signor Nicolò Maria Oliva scritta all’illustriss. signor abbate D. Flavio Ruffo, nella quale dà vera e minuta relatione delli segni, terremoti, incendii del monte Vessuvio, cominciando dalli 10 del mese di decembre 1631 per insino alli 5 di gennaro 1632 (This document is included in)";Oliva, Nicolò Maria;Ruffo, Flavio;Lettera del signor Nicolò Maria Oliva scritta all’illustriss. signor abbate D. Flavio Ruffo, nella quale dà vera e minuta relatione delli segni, terremoti, incendii del monte Vessuvio, cominciando dalli 10 del mese di decembre 1631 per insino alli 5 di gennaro 1632;Cavalli, Francesco;Rome;London, British Library Digital Store 444.b.56;;http://access.bl.uk/item/viewer/ark:/81055/vdc_100026994907.0x000001;;
I-1631-VE-026E;1631 Vesuvius Eruption;Unknown;Vesuvius smoking;1632;;Woodcut;;P-1631-VE-0087 / 1631 Vesuvius Eruption / Lettera narratoria a pieno la verità de’ successi del monte Vessuvio detto di Somma, seguiti alli 16 di decembre fin alli 22 dell’istesso mese. Scritta da un gentilhuomo dimorante in Napoli ad uno di questa corte (This document is included in);[Padavino, Marcantonio];Unknown;Lettera narratoria a pieno la verità de’ successi del monte Vessuvio detto di Somma, seguiti alli 16 di decembre fin alli 22 dell’istesso mese. Scritta da un gentilhuomo dimorante in Napoli ad uno di questa corte;Cavalli, Francesco;Rome;Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA 06.B. 015 (4);;;;
I-1631-VE-026F;1631 Vesuvius Eruption;Unknown;St Januarius;1632;;Woodcut;;P-1631-VE-0089 / 1631 Vesuvius Eruption / Meteorico discorso sopra i segni, cause, effetti, tempi et luoghi generalmente di tutti i terremoti e incendi di diverse parti della terra, con l’insertione d’alcune historie e applicatione particolarmente a terremoti presenti e cause dell’incendio della montagna di Somma. Composto dal signor Giovanni Forleo lecciese, dottor di legge e accademico negligente. Dedicato al glorioso martire s. Gennaro, protettore della città di Napoli (This document is included in);Forleo, Giovanni (Accademico Negligente);Saint Januar;Meteorico discorso sopra i segni, cause, effetti, tempi et luoghi generalmente di tutti i terremoti e incendi di diverse parti della terra, con l’insertione d’alcune historie e applicatione particolarmente a terremoti presenti e cause dell’incendio della montagna di Somma. Composto dal signor Giovanni Forleo lecciese, dottor di legge e accademico negligente. Dedicato al glorioso martire s. Gennaro, protettore della città di Napoli;Roncagliolo, Secondino;Naples;Naples, Biblioteca Nazionale Vittorio Emanuele III XXIX*B66(4);;;;
I-1631-VE-0270;1631 Vesuvius Eruption;Unknown;Emblem;1632;;Woodcut;;P-1631-VE-008A / 1631 Vesuvius Eruption / Morale discorso fatto tra l’effetti cagionati dalla voragine del Vesuvio e li motivi nelli christiani. Di fra Geronimo Sica de Gifoni, mastro de studio de Mergoglino (This document is included in);Sica, Geronimo;;Morale discorso fatto tra l’effetti cagionati dalla voragine del Vesuvio e li motivi nelli christiani. Di fra Geronimo Sica de Gifoni, mastro de studio de Mergoglino;Savio, Francesco;Naples;Naples, Biblioteca Nazionale Vittorio Emanuele III XXIX*A78(16);;http://opac.casanatense.it/Record.htm?idlist=22&record=19073843124918910259;;
I-1631-VE-0271;1631 Vesuvius Eruption;Unknown;Coat of Arms of Orazio Rovito;1632;;Woodcut;;P-1631-VE-008D / 1631 Vesuvius Eruption / Nuove osservationi fatte sopra gli effetti dell’incendio del monte Vesuuio, aggiunte alla decima relatione dello stesso incendio già data in luce, dai 16 di decembre 1631 fino ai 16 di gennaro 1632. Di nuovo rivista e ristampata per Vincenzo Bove (This document is included in);Bove, Vincenzo;Rovito, Orazio;Nuove osservationi fatte sopra gli effetti dell’incendio del monte Vesuuio, aggiunte alla decima relatione dello stesso incendio già data in luce, dai 16 di decembre 1631 fino ai 16 di gennaro 1632. Di nuovo rivista e ristampata per Vincenzo Bove;Scoriggio, Lazzaro;Naples;Naples, Biblioteca Nazionale Vittorio Emanuele III XXIX*A90(24);;http://opac.casanatense.it/Record.htm?idlist=17&record=10127195124929453779;;
I-1631-VE-0272;1631 Vesuvius Eruption;Unknown;City View from the Sea;1631;;Woodcut;;"I-1630-SM-0251 / 1630 San Miguel Eruption / City View from the Sea (Same image as); I-1638-CA-02B7 / 1638 Calabria Earthquake / City View from the Sea (Same image as); I-1647-SA-02BE / 1647 Santiago Earthquake / City View from the Sea (Same image as); P-1631-VE-0090 / 1631 Vesuvius Eruption / Relatione dell’horribil caso et incendio occorso per l’esalatione del Monte di Somma, detto Vesuvio, vicino alla città di Napoli. Sommariamente descritta e estratta da diverse lettere di religiosi e particolari venute da Napoli da Antonio Gerardi romano (This document is included in)";Gerardi, Antonio;Tegrimi, Tegrimio (Secretary of the Congregazione dei Riti);Relatione dell’horribil caso et incendio occorso per l’esalatione del Monte di Somma, detto Vesuvio, vicino alla città di Napoli. Sommariamente descritta e estratta da diverse lettere di religiosi e particolari venute da Napoli da Antonio Gerardi romano;Grignani, Ludovico;Rome;Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA 06.B. 015 (12);;http://opac.casanatense.it/Record.htm?idlist=9&record=19073831124918910139;;
I-1631-VE-0273;1631 Vesuvius Eruption;Unknown;Vesuvius smoking;1632;;Woodcut;;P-1631-VE-0099 / 1631 Vesuvius Eruption / Tra le belle la bellissima, esquisita, e intiera e desiderata relatione dell’incendio del monte Vesuvio, detto di Somma. Pubblicata in Napoli da Pietro Paolo Orlandi romano. Al molto illustre signore e padron mio osservandissimo il sig. don Annibale de Aragona Apiano (This document is included in);[Padavino, Marcantonio];Appiano d'Aragona, Annibale;Tra le belle la bellissima, esquisita, e intiera e desiderata relatione dell’incendio del monte Vesuvio, detto di Somma. Pubblicata in Napoli da Pietro Paolo Orlandi romano. Al molto illustre signore e padron mio osservandissimo il sig. don Annibale de Aragona Apiano;Roncagliolo, Secondino;Naples;Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA 06.F. 031;;;;
I-1631-VE-0274;1631 Vesuvius Eruption;Perrey, Nicolas;"Coat of Arms of the Guzmán family; View of the Vesuvius before and after the Eruption";1632;;Engraving;;P-1631-VE-009A / 1631 Vesuvius Eruption / Trattato del monte Vesuvio e de’ suoi incendi. Di Gianbernardino Giuliani, segretario del fidelissimo popolo napolitano (This document is included in);Giuliani, Gianbernardino;Guzmán, Gaspar de;Trattato del monte Vesuvio e de’ suoi incendi. Di Gianbernardino Giuliani, segretario del fidelissimo popolo napolitano;Longo, Egidio;Naples;Rome, Biblioteca Universitaria Alessandrina G e.51 1;;https://www.e-rara.ch/zut/pbifriedlaender/content/zoom/3027351;;
I-1631-VE-0275;1631 Vesuvius Eruption;Unknown;View of the Vesuvius erupting;1631;;Woodcut;;"I-1631-VE-0281 / 1631 Vesuvius Eruption / View with Vesuvius erupting (Same image as); P-1631-VE-00A1 / 1631 Vesuvius Eruption / Vera relatione del miserabile e memorabile caso, successo nella falda della nominatissima montagna di Somma, altrimenti detta Mons Vesuvii, circa sei miglia distante dalla famosissima e gentilissima città di Partenope, detto Napoli, capo del delitiosiss. Regno e patria di Terra di Lavore. Scritta del [!] R.P.F. Giacomo Milesio da Ponta Hibernese, di minori osservanti riformato, habitante nel regio convento della Croce di Palazzo di Napoli (This document is included in)";Milesio, Giacomo;;Vera relatione del miserabile e memorabile caso, successo nella falda della nominatissima montagna di Somma, altrimenti detta Mons Vesuvii, circa sei miglia distante dalla famosissima e gentilissima città di Partenope, detto Napoli, capo del delitiosiss. Regno e patria di Terra di Lavore. Scritta del [!] R.P.F. Giacomo Milesio da Ponta Hibernese, di minori osservanti riformato, habitante nel regio convento della Croce di Palazzo di Napoli;Maccarano, Domenico;Naples;Wien, Osterreichische Nationalbibliothek 6.Z.61.(2);;http://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ168155808;;
I-1631-VE-0276;1631 Vesuvius Eruption;Unknown;"Erupting Mountain; The Sebeto River";1631;;Woodcut;;P-1631-VE-00A2 / 1631 Vesuvius Eruption / Vera relatione del miserabile e memorabile caso, successo nella falda della nominatissima montagna di Somma, altrimenti detto Mons Vesuvii, circa sei miglia distante dalla famosissima e gentilissima città di Partenope, detta Napoli, capo del delitiosiss. Regno e patria di Terra di Lavore. Scritta dal R.P.F. Giacomo Milesio da Ponta Hibernese, di minori osservanti riformato, habitante nel regio convento della Croce di Palazzo di Napoli. Ottavio Beltrano la dedica e dona al medesimo padre (This document is included in);Milesio, Giacomo;;Vera relatione del miserabile e memorabile caso, successo nella falda della nominatissima montagna di Somma, altrimenti detto Mons Vesuvii, circa sei miglia distante dalla famosissima e gentilissima città di Partenope, detta Napoli, capo del delitiosiss. Regno e patria di Terra di Lavore. Scritta dal R.P.F. Giacomo Milesio da Ponta Hibernese, di minori osservanti riformato, habitante nel regio convento della Croce di Palazzo di Napoli. Ottavio Beltrano la dedica e dona al medesimo padre;Beltrano, Ottavio;Naples;Naples, Biblioteca Nazionale Vittorio Emanuele III XXIX*B64(10);;;;
I-1631-VE-0277;1631 Vesuvius Eruption;Unknown;City View of Naples with the Vesuvius erupting;[1632];;Woodcut;;P-1631-VE-00A4 / 1631 Vesuvius Eruption / Vera relatione dell’horribil caso et incendio occorso per l’esalatione dal Monte di Somma, detto Vesuvio, vicino alla città di Napoli, dal martedì 16 di dicembre sino al seguente martedì del detto mese. Venuta da Napoli con altri particolari saputi per diverse lettere (This document is included in);[Milesio, Giacomo];;Vera relatione dell’horribil caso et incendio occorso per l’esalatione dal Monte di Somma, detto Vesuvio, vicino alla città di Napoli, dal martedì 16 di dicembre sino al seguente martedì del detto mese. Venuta da Napoli con altri particolari saputi per diverse lettere;Nesti, Pietro;Florence;Rome, Biblioteca Casanatense VOL MISC.387 2;;http://opac.casanatense.it/Record.htm?idlist=7&record=10124689124929428619;;
I-1631-VE-0278;1631 Vesuvius Eruption;Unknown;View of the Bay of Naples with the Vesuvius erupting;[1631];;Engraving;in-folio (high 46 cm);P-1631-VE-00A5 / 1631 Vesuvius Eruption / Vero ritratto dell’incendio nella montagna di Somma, altrimente detto mons Vesuvi, distante da Napoli sei miglia, successo alli 16 di Xmbre 1631 (This document is included in);Unknown;;Vero ritratto dell’incendio nella montagna di Somma, altrimente detto mons Vesuvi, distante da Napoli sei miglia, successo alli 16 di Xmbre 1631;Unknown;[Naples];Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA Atlanti 018 (2);;https://www.pedicinimages.com/index.php?mpag=ricerca&lang=ita;;
I-1631-VE-0279;1631 Vesuvius Eruption;Unknown;Cupid blindfolded;1632;;Woodcut;;"I-1631-VE-028E / 1631 Vesuvius Eruption / Coat of Arms of the Grand Duke of Tuscany; Cupid blindfolded (Same image as); P-1631-VE-00A6 / 1631 Vesuvius Eruption / Al Vesuvio per l'incendio rinovato. Oda (This document is included in)";Fontanella, Girolamo;Herrera, Enríquez de;Al Vesuvio per l'incendio rinovato. Oda;Beltrano, Ottavio;Naples;Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA 06.G. 062 (12);;;;
I-1631-VE-027A;1631 Vesuvius Eruption;Unknown;Coat of Arms of Tenerello Montano;1632;;Woodcut;;P-1631-VE-00A9 / 1631 Vesuvius Eruption / Bacco arraggiato co Vorcano. Descurzo ntrà de lloro. Di Gio. Battista Bergazzano Accademico Errante (This document is included in);Bergazzano, Giovan Battista (Accademico Errante);Unknown;Bacco arraggiato co Vorcano. Descurzo ntrà de lloro. Di Gio. Battista Bergazzano Accademico Errante;Beltrano, Ottavio;Naples;Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA 06.G. 034;;http://www.vesuvioweb.com/it/wp-content/uploads/Giovanni-Battista-Bergazzano-Bacco-arraggiato-co-Vorcano-Descurzo-ntra-de-lloro-di-Giovanni-Battista-Bergazzano-Accademico-E.pdf;;
I-1631-VE-027B;1631 Vesuvius Eruption;Unknown;Coat of Arms of the Viceroy the Duke of Monterrey;1632;;Woodcut;;P-1631-VE-00AD / 1631 Vesuvius Eruption / Ampla, copiosa y verdadera relación del incendio dela montaña de Soma o Vesuvio, dividida en ocho capítulos, adonde se haze relación de todo lo sucedido tanto en Nápoles como en los lugares y campaña a 3 y a 4 leguas a la redonda de la montaña, declarandolo todo día por día, desde el martes 16 de deciembre que se abrió la montaña de 1631 por todo el mes de maio 1632 (This document is included in);Sanz Moreno, Francisco;De Zúñiga y Acevedo, Manuel (Count of Monterrey, Viceroy of Naples);Ampla, copiosa y verdadera relación del incendio dela montaña de Soma o Vesuvio, dividida en ocho capítulos, adonde se haze relación de todo lo sucedido tanto en Nápoles como en los lugares y campaña a 3 y a 4 leguas a la redonda de la montaña, declarandolo todo día por día, desde el martes 16 de deciembre que se abrió la montaña de 1631 por todo el mes de maio 1632;Scoriggio, Lazzaro;Naples;Naples, Biblioteca Nazionale Vittorio Emanuele III BNN XXIX*B66(19);;;;
I-1631-VE-027C;1631 Vesuvius Eruption;de Courbes, Jean;View of the Bay of Naples with the Vesuvius erupting;1632;;Engraving;227 x 328 mm;P-1631-VE-00AF / 1631 Vesuvius Eruption / El monte Vesuvio, aora la montaña de Soma, por el doctor don Iuan de Quiñones (This document is included in);Quiñones, Juan de;;El monte Vesuvio, aora la montaña de Soma, por el doctor don Iuan de Quiñones;González, Juan;Madrid;Seville, Biblioteca Capitular y Colombina 20-7-4(3);"'Verdadero retrato del Incendio de la montaña de Soma llamada antiguamente el monte Vesuvio distante de Nap.s dos leguas / Dedicado al Rey Felippe 4º el grande N.ro Señor. El Doctor don Iuan de Quiñones Alcalde de su casa y Corte'; signed 'I de Courbe";;;foto Milena
I-1631-VE-027D;1631 Vesuvius Eruption;Unknown;Urban Landscape with a Pilgrim;1632;;Woodcut;;P-1631-VE-00B0 / 1631 Vesuvius Eruption / Segundo aviso y relación verdadera del miserable y memorable caso sucedido en la falda de la nombrada montaña de Soma, nombrada por otro nombre monte de Vesuvio, distante seys millas de la hermosíssima ciudad de Parténope y por otro no[m]bre Nápoles, reyno y patria de tierra de lavor. Ordenada y compuesta por el reverendo Iayme Milesio de Ponte Hibernete de la religión de Obseruantes reformados en el Real Convento de la Cruz de palacio de la ciudad de Nápoles. Traduzida de la lengua napolitana en castellano conforme su original (This document is included in);Milesio, Giacomo;;Segundo aviso y relación verdadera del miserable y memorable caso sucedido en la falda de la nombrada montaña de Soma, nombrada por otro nombre monte de Vesuvio, distante seys millas de la hermosíssima ciudad de Parténope y por otro no[m]bre Nápoles, reyno y patria de tierra de lavor. Ordenada y compuesta por el reverendo Iayme Milesio de Ponte Hibernete de la religión de Obseruantes reformados en el Real Convento de la Cruz de palacio de la ciudad de Nápoles. Traduzida de la lengua napolitana en castellano conforme su original;Liberós, Esteban;Barcelona;Barcelona, Universitat de Barcelona, Biblioteca de Reserva 07 C-249/5/9-61;;https://www.bidiso.es/CBDRS/upload/ejemplares/5594/digitalizado/201711171242__c-249_4_5_4_9-61.pdf;;
I-1631-VE-027E;1631 Vesuvius Eruption;Unknown;Erupting Mountain;1632;;Woodcut;;P-1631-VE-00B1 / 1631 Vesuvius Eruption / La storia d'havere timore, e gran spavento dello foco del inferno, lo quale si è scoperto per causa de li nostri peccati nella Montagnia di somma la quale si e aperta, e buttato lengue di foco, e cennere, e pietre che ha consumato tridecetra terre, e casa, composta da Vincenzo Iannace cieco di Cippalune (This document is included in);Iannace, Vincenzo;;La storia d'havere timore, e gran spavento dello foco del inferno, lo quale si è scoperto per causa de li nostri peccati nella Montagnia di somma la quale si e aperta, e buttato lengue di foco, e cennere, e pietre che ha consumato tridecetra terre, e casa, composta da Vincenzo Iannace cieco di Cippalune;Beltrano, Ottavio;Naples;Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA  06.G. 062 (11);;;;
I-1631-VE-027F;1631 Vesuvius Eruption;Unknown;View of the Bay of Naples with the Vesuvius erupting;[1632];;Engraving;;;;;;;;;;;;foto Annachiara (Naples, Società Napoletana di Storia Patria, SISMICA Atlanti 018)
I-1631-VE-0280;1631 Vesuvius Eruption;Unknown;Erupting Mountain with Isaiah Verset;1632;;Woodcut;;"I-1631-VE-0528 / 1631 Vesuvius Eruption / Erupting Mountain with Isaiah Verset (Same image as); P-1631-VE-00B3 / 1631 Vesuvius Eruption / Incendio del Vesuvio dell'Incredulo Accademico Incauto (This document is included in)";Unknown (Incredulo Accademico Incauto);;Incendio del Vesuvio dell'Incredulo Accademico Incauto;Longo, Egidio;Naples;Naples, Biblioteca Nazionale Vittorio Emanuele III XXIX*A90(6);;;;
I-1631-VE-0281;1631 Vesuvius Eruption;Unknown;View with Vesuvius erupting;1632;;Woodcut;;"I-1631-VE-0275 / 1631 Vesuvius Eruption / View of the Vesuvius erupting (Same image as); P-1631-VE-00B4 / 1631 Vesuvius Eruption / Il lacrimoso lamento del disaggio che ha fatto il Monte di Somma, con tutte le cose occorse sino al presente giorno. Composta per Gio. Battista Longo napolitano (This document is included in)";Longo, Giovan Battista;Unknown;Il lacrimoso lamento del disaggio che ha fatto il Monte di Somma, con tutte le cose occorse sino al presente giorno. Composta per Gio. Battista Longo napolitano;Maccarano, Domenico;Naples;Naples, Biblioteca Nazionale Vittorio Emanuele III XXIX*A90(19);;;;foto MEGA
