Record;Event;Archive;Author/sender;Recipient;Date of writing;Start point;Date of receipt;End point;Summary;Language;Related images or documents;Other Events;Link;Analytic tags;Private notes;;;;;;
M-1604-AE-039D;1604 Arica Earthquake;Seville, Archivo General de Indias, Lima, 95, Cartas y expedientes: Presidente y Oidores de la Audiencia;Audiencia of Lima;Consejo de Indias;1608-01-31;Lima;;Madrid;The Audiencia summarises the aid and exemptions granted, in agreement with the Viceroy, to the city of Arequipa and other cities in the area, such as Arica and Camana;Spanish;;1600 Huaynaputina Eruption;;;The Audiencia states that, after a few years of sterility due to the 1600 eruption, the fields became more fertile than before perhaps thanks to the ashes;;;;;;
M-1604-AE-039E;1604 Arica Earthquake;Seville, Archivo General de Indias, Lima, 111, Cartas y expedientes de varios cabildos seculares del distrito de la Audiencia de Lima;Cabildo secular of Arequipa;Consejo de Indias;1614-03-14;Lima;;Madrid;The cabildo recalls the recent calamities and asks the sovereign for some mercies to alleviate its difficulties;Spanish;;1600 Huaynaputina Eruption;;;;;;;;;
M-1604-AE-039F;1604 Arica Earthquake;Seville, Archivo General de Indias, Lima, 144, Cartas y expedientes: personas seculares;Caciques of the nearby villages surrounding Arequipa;Consejo de Indias;1614-03-05;Arequipa;;Madrid;The chiefs of the Indio communities near Arequipa issue a petition to the sovereign in which they complain about the ever-increasing and burdensome corvées to which they are subjected. Some of these were imposed for the rebuilding of Arequipa after the 1604 earthquake;Spanish;;;;;The petition is drafted in Arequipa by a public scribe. The names of the caciques are listed in an attached document;;;;;;
M-1604-AE-05F3;1604 Arica Earthquake;Seville, Archivo General de Indias, AGI, 144. Cartas y expedientes: personas seculares;Caciques and Governors of the Collagua Province;Consejo de Indias;1614-03-05;Arequipa;;Madrid;Petition of the caciques' and governors of the province of Collaguas on various burdens to the detriment of the indigenous peoples: among them, the petitioners complain about the burdens resulting from the involvement of the indigenous peoples in the reconstruction of Arequipa and other cities due to the earthquakes of recent decades ';Spanish;;;;;;;;;;;
M-1606-MO-065F;1606 Momotombo Eruption;Rome, Biblioteca Apostolica Vaticana, Barb. Lat. 3584;Vázquez de Espinosa, Antonio;;ca. 1628 It was finished around that time.;;;;On p. 238 from the manuscript's version published in 1948 it is said that the eruption and the subsequent earthquake were a punishment for the murder of the bishop by the governor of León, Rodrigo de Contreras. The catastrophe  led to the relocation of the city of Leon, which had been witnessed the sacrilege committed against the bishop. On p. 475, Vázquez de Espinosa refers natural causes for the disaster: the volcan's presence in Nicaragua explained the earthquake.;Spanish;;"1575 Valdivia earthquake;1582 Arequipa Earthquake;1586 Lima Earthquake;1600 Huaynaputina Eruption;1619 Trujillo Earthquake";https://repository.si.edu/handle/10088/23742;INTERPRETAZIONE→Osservazioni empiriche;;;;;;;
M-1609-LI-03A0;1609 Lima Earthquake;Seville, Archivo General de Indias, Lima, 301, Cartas y expedientes de arzobispos de Lima;Lobo Guerrero, Bartolomé;Consejo de Indias;1610-03-15;Lima;1612-06-22;Madrid;After describing his arrival and settling in Lima, the archbishop gives a brief description of the earthquake and focuses on the damage to some of the churches and monasteries and asks for the sovereign's help in their reconstruction;Spanish;;;;;The bishop praises the conduct of the Viceroy and the Audiencia of Lima, while blaming the corregidores' actions and habits, especially towards the Indios;;;;;;
M-1609-LI-03A1;1609 Lima Earthquake;Seville, Archivo General de Indias, Lima, 95, Cartas y expedientes: Presidente y Oidores de la Audiencia;Cacho de Santillana, Cristóbal;Consejo de Indias;1610-03-27;Lima;;Madrid;As reconstruction is required after the earthquake, the judge expresses some opinions on how houses and churches should be built, based on the experience of previous earthquakes and inspired by some solutions of Inca architecture.;Spanish;;;;;;;;;;;
M-1609-LI-05FE;1609 Lima Earthquake;Madrid, Archivo Histórico Nacional, Inquisición, 4797, exp. 8;Lima inquisitors;Inquisitor General;1610-03-25;Lima;;Madrid;The report briefly mentions the damage suffered by Lima and describes in detail the damage caused to the Inquisition buildings, with an estimate of expenses;Spanish;;;;;;;;;;;
M-1609-RO-03A2;1609 Rhodes Earthquake;Archivo General de Simancas, Estado, 1434, f. 192;Vivas de Cañamás, Juan;Philip III;1609-05-26;Genoa;1609-06-09;Court;News on the Rhodes earthquake;Spanish;;;;;Ottoman armada in Aegean Islands;;;;;;
M-1617-BA-0654;1617 Barcelona Flood;Barcelona, Archivo de la Corona de Aragón, Consejo de Aragón, Leg 359 s/n;Pahers of Lleida;Philip III;1617-12-20;Lleida;;;;Catalan;;;;;;;;;;;
M-1619-TR-03A3;1619 Trujillo Earthquake;Seville, Archivo General de Indias, Panamá, 17, r. 3, n. 39;Audiencia of Panama;Philip III;1619-06-17;Panama;;Court;References to several disasters (Trujillo Earthquake);Spanish;;;;;;;;;;;
M-1619-TR-03A4;1619 Trujillo Earthquake;Seville, Archivo General de Indias, Lima, 111, Cartas y expedientes de varios cabildos seculares del distrito de la Audiencia de Lima;Cabildo secular of Trujillo;Consejo de Indias;[1620];Trujillo;;Madrid;The members of the Cabildo report the damages and casualties caused by the earthquake and implore the sovereign to grant aid to rebuild the main buildings.;Spanish;;;;;;;;;;;
M-1619-TR-03A5;1619 Trujillo Earthquake;Seville, Archivo General de Indias, Lima, 111, Cartas y expedientes de varios cabildos seculares del distrito de la Audiencia de Lima;Cabildo secular of Trujillo;Consejo de Indias;1627-05-14;Trujillo;;Madrid;The members of the Cabildo ask the sovereign to allow the city to levy a tax on certain commodities, in order to provide funding for the reconstruction;Spanish;M-1619-TR-03A6 / 1619 Trujillo Earthquake / The Procurator asks the viceroy to allow the city to levy a tax on certain commodities, in order to provide funding for the reconstruction (This document is a follow-up of);;;;;;;;;;
M-1619-TR-03A6;1619 Trujillo Earthquake;Seville, Archivo General de Indias, Lima, 111, Cartas y expedientes de varios cabildos seculares del distrito de la Audiencia de Lima;Herrera Salazar, Pedro de;Fernández de Córdoba, Diego;1620;Trujillo;;Peru;The Procurator asks the viceroy to allow the city to levy a tax on certain commodities, in order to provide funding for the reconstruction;Spanish;M-1619-TR-03A5 / 1619 Trujillo Earthquake / The members of the Cabildo ask the sovereign to allow the city to levy a tax on certain commodities, in order to provide funding for the reconstruction (This document is followed by);;;;;;;;;;
M-1619-TR-0660;1619 Trujillo Earthquake;Rome, Biblioteca Apostolica Vaticana, Barb. Lat. 3584;Vázquez de Espinosa, Antonio;;ca. 1628 It was finished around that time;;;;The author reports the destruction of Trujillo by the earthquake in which 400 people are said to have died. The catastrophe was the work of God. The news of the disaster reached Lima 5 days later. The author was in Lima at the time (p. 365). However, on p. 474, Vázquez de Espinosa states that the information arrived 4 days later. The city had at that time asked the viceroy for help with the reconstruction.;Spanish;;"1575 Valdivia earthquake;1582 Arequipa Earthquake;1586 Lima Earthquake;1600 Huaynaputina Eruption;1606 Momotombo Eruption";https://repository.si.edu/handle/10088/23742;RISPOSTE ISTITUZIONALI→Sgravi fiscali;;;;;;;
M-1627-GA-03A7;1627 Gargano Earthquake;Madrid, Archivo Histórico Nacional, Universidades, Libro 1156, ff. 208r-211v;Unknown;;;;;;Handwritten Spanish translation of the printed newssheet Vera relatione del pietoso caso';Spanish;P-1627-GA-0049 / 1627 Gargano Earthquake / Vera relatione del pietoso caso successo nelle terre contenute della provincia di Puglia e Regno di Napoli, cioè del terremoto sentito in questo presente anno 1627. Cavata da relationi, come si giudica, autentiche, e vere, publicata per Gio. Orlandi, stampatore alla Pietà. Dedicata al molto illust. sig. il Signor Raffaele Ruccellai (This document is a translation of);;;;;;;;;;
M-1627-GA-03A8;1627 Gargano Earthquake;Naples, Archivio di Stato di Napoli, Consiglio Collaterale, Notamenti, 12, f. 10v;Consiglio Collaterale;"Camera della Sommaria; Udienza Provinciale";1627-08-09;Naples;;"Naples; Lucera";Request for reports on the damage caused by the earthquake.;Italian;;;;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;;;;;;;
M-1627-GA-03A9;1627 Gargano Earthquake;Naples, Archivio di Stato di Napoli, Consiglio Collaterale, Notamenti, 12, ff. 16v-17r;Consiglio Collaterale;Governor of Capitanata;1627-08-27;Naples;;Lucera;Request for detailed reports on the towns and villages affected by the earthquake with the order to suspend taxation.;Spanish;;;;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;;;;;;;
M-1627-GA-03AA;1627 Gargano Earthquake;Naples, Archivio di Stato di Napoli, Segreterie dei Viceré, viglietti originali, 18;Galatino, Brenzio;Álvarez de Toledo, Antonio;1627-09-13;Pozzuoli;;Naples;Letter of receipt about the devotions to do in favor of the damaged towns and villages;Spanish;;;;;;;;;;;
M-1627-GA-03AB;1627 Gargano Earthquake;Naples, Archivio di Stato di Napoli, Segreterie dei Viceré, viglietti originali, 18;De Marino, Ascanio;Álvarez de Toledo, Antonio;1627-09-20;Sarno;;Naples;Letter of receipt about the devotions to do in favor of the damaged towns and villages;Italian;;;;COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;;;;;;;
M-1627-GA-03AC;1627 Gargano Earthquake;Naples, Archivio di Stato di Napoli, Segreterie dei Viceré, viglietti originali, 18;Bernardino;Álvarez de Toledo, Antonio;1627-09-20;Scala;;Naples;Letter of receipt about the devotions to do in favor of the damaged towns and villages;Italian;;;;COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;;;;;;;
M-1627-GA-03AD;1627 Gargano Earthquake;Naples, Archivio di Stato di Napoli, Segreterie dei Viceré, viglietti originali, 18;Corti, R.;Álvarez de Toledo, Antonio;1627-09-20;Amalfi;;Naples;Letter of receipt about the devotions to do in favor of the damaged towns and villages;Italian;;;;COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;;;;;;;
M-1627-GA-03AE;1627 Gargano Earthquake;Naples, Archivio di Stato di Napoli, Segreterie dei Viceré, viglietti originali, 18;Frascano, Giuseppe Battista;Álvarez de Toledo, Antonio;1627-09-20;Lettere;;Naples;Letter of receipt about the devotions to do in favor of the damaged towns and villages;Italian;;;;FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Invocazione alla divinità;;;;;;;
M-1627-GA-03AF;1627 Gargano Earthquake;Naples, Archivio di Stato di Napoli, Segreterie dei Viceré, viglietti originali, 18;Troiano, Giovanni;Álvarez de Toledo, Antonio;1627-09-21;Nusco;;Naples;Letter of receipt about the devotions to do in favor of the damaged towns;Italian;;;;COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;;;;;;;
M-1627-GA-03B0;1627 Gargano Earthquake;Naples, Archivio di Stato di Napoli, Consiglio Collaterale, Notamenti, 12, f. 30r;Consiglio Collaterale;Álvarez de Toledo, Antonio;1627-09-27;Naples;;;Order for the execution of fiscal suspension for 10 years for the towns and villages of S. Severo, Torremaggiore, Serracapriola, S. Paolo and Apricena;Latin;;;;RISPOSTE ISTITUZIONALI→Sgravi fiscali;;;;;;;
M-1627-GA-03B1;1627 Gargano Earthquake;Naples, Archivio di Stato di Napoli, Consiglio Collaterale, Notamenti, 12, f. 56r;Consiglio Collaterale;Camera della Sommaria;1627-11-05;Naples;;Naples;Order of issueing a new Consulta (written advice);Spanish;;;;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;;;;;;;
M-1627-GA-03B2;1627 Gargano Earthquake;Naples, Archivio di Stato di Napoli, Consiglio Collaterale, Notamenti, 13, f. 2r;Consiglio Collaterale;Udienza of Girifalco;1628-10-02;Naples;;;Request for report about the damage caused in Girifalco and granting the extension of the tax exemption for another year;Spanish;;;;RISPOSTE ISTITUZIONALI→Sgravi fiscali;;;;;;;
M-1627-GA-03B3;1627 Gargano Earthquake;Naples, Archivio di Stato di Napoli, Regia Camera della Sommaria, Carte Reali, 40, f. 35r;Philip IV;Álvarez de Toledo, Antonio;1634-07-25;Madrid;;Naples;Order of confirmation of fiscal suspension for San Severo;Italian;;;;RISPOSTE ISTITUZIONALI→Sgravi fiscali;;;;;;;
M-1627-GA-03B4;1627 Gargano Earthquake;Madrid, Biblioteca de la Real Academia de la Historia, Colección Salazar y Castro, F-24, f. 150-152;Unknown;;[1627-09];Naples;;;Handwritten report entitled Relación del gran terremoto que hubo en la provincia de la Capitana, en Nápoles, donde se asolaron algunas ciudades y otros muchos lugares, y pereció gran número de personas de toda suerte y calidad'. The report is complemented by the Spanish translation of a letter from Troia';Spanish;M-1627-GA-03B5 / 1627 Gargano Earthquake / This report is the translation of a Letter in Italian addressed to a unspecified Señor y Hermano' and is attached to a letter written in Naples';;;;;;;;;;
M-1627-GA-03B5;1627 Gargano Earthquake;Madrid, Biblioteca de la Real Academia de la Historia, Colección Salazar y Castro, F-24, f. 153-155;Unknown;Unknown;1627-08-14;Troia;;Naples;This report is the translation of a Letter in Italian addressed to a unspecified Señor y Hermano' and is attached to a letter written in Naples';Spanish;M-1627-GA-03B4 / 1627 Gargano Earthquake / Handwritten report entitled Relación del gran terremoto que hubo en la provincia de la Capitana, en Nápoles, donde se asolaron algunas ciudades y otros muchos lugares, y pereció gran número de personas de toda suerte y calidad'. The report is complemented by the Spanish translation of a letter from Troia';;;;;;;;;;
M-1627-GA-03B6;1627 Gargano Earthquake;Madrid, Biblioteca de la Real Academia de la Historia, Colección Salazar y Castro, N-54, f. 279;Unknown;Unknown;1694-08;[Apulia];;Rome;Handwritten copy of a report (presumably in Italian) titled Relación, enviada al cardenal Antonio Gaetano, relatándole el terremoto ocurrido en Pulla (Sicilia)'. The sender describes the damages and casualties caused by the earthquake in the main cities and towns of the Capitanata region';Spanish;;;;;;;;;;;
M-1627-GA-068F;1627 Gargano Earthquake;San Severo, Biblioteca Comunale di San Severo, Manoscritti, 10;Lucchino, Antonio;Unknown;after 1627-07-30;San Severo;;;Chronicle of the earthquake that ruined the city of San Severo and the surrounding lands in 1627.;Italian;;;;INTERPRETAZIONE→Segni premonitori;"Digitalizzato integralmente l'edizione a stampa del 1930 e accessibile tramite il sito del SBN; manoscritto trascritto dal gruppo&nbsp;CFTI5Med e accessibile nel loro sito.";;;;;;
M-1627-GA-0691;1627 Gargano Earthquake;San Severo, Archivio della Parrocchia di S.Nicola di San Severo, Libro dei morti dal 1º luglio 1600 al 23 gennaio 1672 della parrocchia di San Nicola in San Severo;De Magris, Ferdinando;Unknown;1600-1672;San Severo;;;Registering earthquake victims in the parish of St. Nicholas of San Severo.;Italian;;;;FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Enumerazione dei danni e delle vittime;;;;;;;
M-1627-GA-0692;1627 Gargano Earthquake;Serracapriola, Archivio della Parrocchia di Santa Maria in Sylvis di Serracapriola, fascio 4;Palumbo, Alessandro;Clero;1628-09-07;Serracapriola;;;Letter from the canon of the Santa Maria in Sylvis church to the clergy on the collapse of the house in which he lived due to the earthquake of 1627.;Italian;;;;FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Enumerazione dei danni e delle vittime;;;;;;;
M-1627-GA-0693;1627 Gargano Earthquake;Serracapriola, Archivio della Parrocchia di Santa Maria in Sylvis di Serracapriola, vol.1, Liber Mortuorum della parrocchia di Santa Maria in Sylvis di Serracapriola per gli anni 1600-1845, Nota sul terremoto del 30 luglio 1627;Unknown;Unknown;1627;Serracapriola;;;Record of deaths in Serracapriola due to earthquake collapse.;Latin;;;;FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Enumerazione dei danni e delle vittime;;;;;;;
M-1627-GA-0694;1627 Gargano Earthquake;Foggia, Archivio di Stato di Foggia, Dogana delle pecore, serie IV, fascio 195, fasc.7392;Regia Camera della Sommaria;Marchese di San Giuliano;1628-02-19;San Severo;;;Copy of the royal commission granting certain affected localities a ten-year immunity for the payment of debts and taxes.;Italian;M-1627-GA-0697 / 1627 Gargano Earthquake / The Regia Camera della Sommaria received a note with reports on the earthquake in Apulia, in which it was asked to issue a Consulta (written advice) on the decision-making process. (This document is followed by);;;RISPOSTE ISTITUZIONALI→Sgravi fiscali;;;;;;;
M-1627-GA-0697;1627 Gargano Earthquake;Foggia, Archivio di Stato di Foggia, Dogana delle pecore, serie IV, fascio 195, fasc.7392;Barrile, Giovan Angelo;Regia Camera della Sommaria;1627-09-07;Naples;;Naples;The Regia Camera della Sommaria received a note with reports on the earthquake in Apulia, in which it was asked to issue a Consulta (written advice) on the decision-making process.;Spanish;"M-1627-GA-0694 / 1627 Gargano Earthquake / Copy of the royal commission granting certain affected localities a ten-year immunity for the payment of debts and taxes. (This document is a follow-up of);M-1627-GA-0699 / 1627 Gargano Earthquake / Report on the earthquake damage, institutional interventions and devotional responses of the population.&nbsp; (This document has attachment(s));M-1627-GA-069A / 1627 Gargano Earthquake / Report on the handling of the disaster by the population and local officials. (This document has attachment(s))";;;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;;;;;;;
M-1627-GA-0699;1627 Gargano Earthquake;Foggia, Archivio di Stato di Foggia, Dogana delle pecore, serie IV, fascio 195, fasc.7392;Strambone, Giovanni Vincenzo;Barrile, Giovan Angelo;1627-08-15;Lucera;;Naples;Report on the earthquake damage, institutional interventions and devotional responses of the population. ;Italian;"M-1627-GA-0697 / 1627 Gargano Earthquake / The Regia Camera della Sommaria received a note with reports on the earthquake in Apulia, in which it was asked to issue a Consulta (written advice) on the decision-making process. (This document is attached to);M-1627-GA-069A / 1627 Gargano Earthquake / Report on the handling of the disaster by the population and local officials. (This document has attachment(s))";;;SENSORIALITÀ E MATERIALITÀ→Odori del disastro;;;;;;;
M-1627-GA-069A;1627 Gargano Earthquake;Foggia, Archivio di Stato di Foggia, Dogana delle pecore, serie IV, fascio 195, fasc.7392;Crescentio, Angelo;Barrile, Giovan Angelo;1627-08-11;San Severo;;Naples;Report on the handling of the disaster by the population and local officials.;Italian;"M-1627-GA-0697 / 1627 Gargano Earthquake / The Regia Camera della Sommaria received a note with reports on the earthquake in Apulia, in which it was asked to issue a Consulta (written advice) on the decision-making process. (This document is attached to);M-1627-GA-0699 / 1627 Gargano Earthquake / Report on the earthquake damage, institutional interventions and devotional responses of the population.&nbsp; (This document is attached to)";;;SENSORIALITÀ E MATERIALITÀ→Odori del disastro;;;;;;;
M-1627-GA-06BA;1627 Gargano Earthquake;San Severo, Archivio della Parrocchia di San Giovanni Battista di San Severo, Registri Parrocchiali, vol.1, Registro dei matrimoni, battesimi, morti, dal 1610 al 1640, cc.149-150;De Magris, Ferdinando;;1627;San Severo;;;Parish register of earthquake victims.;Italian;;;;FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Enumerazione dei danni e delle vittime;;;;;;;
M-1627-GA-06BB;1627 Gargano Earthquake;Foggia, Archivio di Stato di Foggia, Dogana delle pecore, serie IV, fascio 201, fasc.7575;Galatola, Antonio Marco;Auditor of the Foggia Sheep Custom House;1631;;;;Complaint by the convent procurator against Giovanni Cola Fania for illegally appropriating a building destroyed by the earthquake.;Italian;;;;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;;;;;;;
M-1627-GA-06BC;1627 Gargano Earthquake;Foggia, Archivio di Stato di Foggia, Dogana delle pecore, serie IV, fascio 233, fasc.8614;Unknown;;1629-03-25;Foggia;;;Giuseppe and Giuliano Marocco take Giovanni Berardino Troiano of San Severo to court. His house in San Severo is still in ruins due to the earthquake and he cannot appear in court.;Italian;;;;RISPOSTE ISTITUZIONALI→Conflitti di giurisdizione;;;;;;;
M-1627-GA-06BD;1627 Gargano Earthquake;Foggia, Archivio di Stato di Foggia, Dogana delle pecore, serie IV, fascio 233, fasc.8614;Unknown;;1629-04-04;Foggia;;;Petition of the cloth merchant Pringipio Bradice on behalf of his uncle Giovanni Berardino Troiano of San Severo to obtain a postponement of his lawsuit following the earthquake that ruined part of his estate.;Italian;;;;RISPOSTE ISTITUZIONALI→Conflitti di giurisdizione;;;;;;;
M-1627-GA-06BE;1627 Gargano Earthquake;San Severo, Archivio della Parrocchia di S.Nicola di San Severo, Antonio Irmici, Storia della parrocchia, sec.XIX;Irmici, Antonio;;1979 typewritten copy;San Severo;;;Memory of how the earthquake affected the religious property of San Severo.;Italian;;;;COMUNITÀ/ EFFETTI SOCIALI→Rievocazione del disastro a distanza di tempo;;;;;;;
M-1627-GA-06BF;1627 Gargano Earthquake;Mantua, Archivio di Stato di Mantova, Archivio Gonzaga, b. 828;Barone, Muzio;Sbriggio;1627-08-03;Naples;;Mantua;Earthquake also felt in Naples. First news from Naples of the devastation in Puglia.;Italian;;;;COMUNITÀ/ EFFETTI SOCIALI→Rumours;;;;;;;
M-1627-GA-06C2;1627 Gargano Earthquake;Naples, Archivio di Stato di Napoli, Consiglio Collatterale, Consiglio, Notamenti, reg.12;Consiglio Collaterale;;1627-09-13;Naples;;;Prison sentence remission for debtors victims of the San Severo earthquake.;Italian;;;;;;;;;;;
M-1627-GA-06C3;1627 Gargano Earthquake;Foggia, Biblioteca Provinciale dei Cappuccini di Foggia, s.s., Gabriele da Cerignola, Memoria della fondazione di questa nostra provincia dei Cappuccini di Sant’Angelo e di suoi luoghi con il catalogo di tutti li vicari seu ministri provinciali, che l’hanno governata;Cerignola, Gabriele da;;1660;Foggia;;;First-person narration by the priest of the destruction suffered by the churches and the inhabitants of the various affected areas.;Italian;;;;COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;;;;;;;
M-1627-GA-06C4;1627 Gargano Earthquake;Troia, Archivio Vescovile di Troia, cc.n.n., V. Aceto, Troia sagra tesoro del Capitolo cattedrale di Troia;Unknown;;1720-1730;Troia;;;Recalling the suffering of the victims of the earthquake that struck Troy.;Italian;;;;COMUNITÀ/ EFFETTI SOCIALI→Rievocazione del disastro a distanza di tempo;;;;;;;
M-1627-GA-06C5;1627 Gargano Earthquake;Vatican City, Archivio Segreto Vaticano, Sacra Congregatio Concilii, Relationes dioecesium, b.465 A, Lucerina I;Suardi, Fabrizio;Congregation for the Council;1629-01-18 or 1634-06-20;Lucera;;Rome;The bishop of the Lucera diocese made a request to the Congregation of the Council to reduce the expenses of masses in Apricena, where the number of priests also decreased due to the diocese's difficulty in satisfying the debts and charges imposed by the Tridentine Congregation, which had become burdensome at that time of great hardship.;Latin;;;;RISPOSTE ISTITUZIONALI→Sgravi fiscali;;;;;;;
M-1627-GA-06C6;1627 Gargano Earthquake;Vatican City, Archivio Segreto Vaticano, Sacra Congregatio Concilii, Relationes dioecesium, b.743 A, Sancti Severi I;Unknown;Congregation for the Council;1647-03-23;"Rome; San Severo";;Rome;Ten years after the earthquake, the bishop's report informed of the complete reconstruction of the city of San Severo and its churches.;Latin;;;;RISPOSTE ISTITUZIONALI→Pianificazione urbana e architettonica;;;;;;;
M-1627-GA-06C9;1627 Gargano Earthquake;Vatican City, Archivio Segreto Vaticano, Sacra Congregatio Concilii, Relationes dioecesium, b.819 A, Troiana I;Sangro, Antonio de;Congregation for the Council;1690-12-20;Troia;;Rome;Bishop Antonio de Sangro repaired the parish church in Troia at his own expense.;Latin;;;;RISPOSTE ISTITUZIONALI→Pianificazione urbana e architettonica;;;;;;;
M-1628-MA-03B7;1628 Malaga Flood;Madrid, Biblioteca de la Real Academia de la Historia, Coleccion Salazar y Castro, F-23, f. 21-28 (2ª foliación);Hinojales y Ribera, Juan Bautista de;Unknown;1628;;;;Handwritten copy of a report entitled Relación de la espantosa ruina y lamentable suceso de las muertes y estrago que causó un impensado diluvio en la ciudad de Málaga, sábado en la noche, que se contaron 23 del mes de septiembre de este año 1628'. In addition to the damage caused by the flood, the author describes the division of tasks among the members of the city council';Spanish;;;;;;;;;;;
M-1629-ME-03B8;1629 Mexico Flood;Archivum Romanum Societatis Iesu, Provincia Mexicana, vol. 2, f. 373r;Vitelleschi, Mutio;Ramírez, Pedro;1630-11-06;Rome;;Mexico City;A copy of a letter expressing his regrets about the flooding of the lagoon and hopes that it has stopped;;;;;;;;;;;;
M-1629-ME-03B9;1629 Mexico Flood;Archivum Romanum Societatis Iesu, Provincia Mexicana, vol. 2, f. 373v;Vitelleschi, Mutio;Acevedo, Diego de;1630-11-06;Rome;;Mexico City;A copy of letter expressing his regrets about the flooding of the lagoon and hopes that it has stopped;;;;;;;;;;;;
M-1631-VE-03BA;1631 Vesuvius Eruption;Archivio di Stato di Napoli, Consiglio Collaterale, Notamenti, 24, f. 156r;Consiglio Collaterale;Unknown;1631-12-16;Naples;;;Order of the viceroy to hold processions and prayers and to suspend the judicial trials;Italian;;;;;;;;;;;
M-1631-VE-03BB;1631 Vesuvius Eruption;Archivio di Stato di Napoli, Consiglio Collaterale, Notamenti, 24, f. 157v;Consiglio Collaterale;Unknown;1631-12-16;Naples;;;Devotional procession with the participation of the viceroy and the courts;Italian;;;;;;;;;;;
M-1631-VE-03BC;1631 Vesuvius Eruption;Archivio di Stato di Napoli, Consiglio Collaterale, Notamenti, 24, f. 157v;Consiglio Collaterale;Unknown;1631-12-16;Naples;;;Procession with the participation of the viceroy, cardinal and the courts;Italian;;;;;;;;;;;
M-1631-VE-03BD;1631 Vesuvius Eruption;Archivio di Stato di Napoli, Segreterie dei Viceré, viglietti originali, 34;Governor of Terra d'Otranto;Acevedo y Zúñiga, Manuel de;1631-12-17;Lecce;;Naples;Report on the volcanic ashes fallen on the city;Spanish;;;;;;;;;;;
M-1631-VE-03BE;1631 Vesuvius Eruption;Archivio di Stato di Napoli, Segreterie dei Viceré, viglietti originali, 34;Governor of Terra di Bari;Acevedo y Zúñiga, Manuel de;1631-12-20;Trani;;Naples;Report on the volcanic ashes fallen in the city and about the start of penitential processions;Spanish;;;;;;;;;;;
M-1631-VE-03BF;1631 Vesuvius Eruption;Archivio di Stato di Napoli, Segreterie dei Viceré, viglietti originali, 34;Molina, Gaspar de;Marquis of Vico;1631-12-20;Naples;;;Assignment to verify the damage caused by the ashes of Vesuvius in the towns of Monteforte and Avellino;Spanish;;;;;;;;;;;
M-1631-VE-03C0;1631 Vesuvius Eruption;Archivio di Stato di Napoli, Segreterie dei Viceré, viglietti originali, 34;Molina, Gaspar de;Judge of Capua;1631-12-20;Naples;;Capua;Assignment to verify the damage caused by the ashes of Vesuvius in the towns of Monteforte and Avellino;Spanish;;;;;;;;;;;
M-1631-VE-03C1;1631 Vesuvius Eruption;Archivio di Stato di Napoli, Segreterie dei Viceré, viglietti originali, 34;Dogana of Foggia;Acevedo y Zúñiga, Manuel de;1631-12-23;Foggia;;Naples;Report and petition on the difficulty of sheep pasture because of the ashes of the eruption;Italian;;;;;;;;;;;
M-1631-VE-03C2;1631 Vesuvius Eruption;Archivio di Stato di Napoli, Segreterie dei Viceré, viglietti originali, 34;Acevedo y Zúñiga, Manuel de;Dogana of Foggia;1631-12-28;Naples;;Foggia;Letter of receipt of the damages suffered in Foggia for the eruption;Spanish;;;;;;;;;;;
M-1631-VE-03C3;1631 Vesuvius Eruption;Archivio di Stato di Napoli, Regia Camera della Sommaria, viglietti originali, 9;Camera della Sommaria;Unknown;1632-01-13;Naples;;;Resumption of court activity and activation of intervention measures to manage the emergency;Italian;;;;;;;;;;;
M-1631-VE-03C4;1631 Vesuvius Eruption;Archivio di Stato di Napoli, Regia Camera della Sommaria, Notamentorum, 97, f. 50v;Camera della Sommaria;Unknown;1632-02-06;Naples;;;The Regio Fisco instructs the Sommaria to provide the suspension of the tax for the towns and villages damaged by Vesuvius;Italian;;1627 Gargano Earthquake;;;;;;;;;
M-1631-VE-03C5;1631 Vesuvius Eruption;Archivio di Stato di Napoli, Consiglio Collaterale, Notamenti, 25, f. 9v;Consiglio Collaterale;Unknown;1632-03-01;Naples;;;Order to send fiscal agents to the towns and villages damaged by the eruption for the verification of the damages;Italian;;;;;;;;;;;
