Record;Event;Author;Recipient/dedicatee information;Recipient/dedicatee;Title;Printer;Printer information;Place;Summary;Other places quoted by the printer;Year;Language;Form (prose/verses/mixed);Identifier in USTC;Reference copy-ies;Digitised copy link;Related images and documents;Additional notes;Analaytic tags;Private notes;;;;
P-1628-MA-004D;1628 Malaga Flood;Unknown;;Unknown;"Relatione dell’innondatione della città di Malaga cagionata dal fiume Guadalmedina, nella quale s’intende la grandissima rovina di case, magazeni, monasteri, &amp; la morte di molte persone, &amp; il numero infinito d’animali annegati con il danno di più di due millioni d’oro. Tradotta di spagnolo in italiano";Lerma, Emanuel;nella stamparia di Emanuel Lerma;"Verona; Milan; Bologna";;"Milan;Bologna";1629;Italian;Prose;Null;Weimar, Herzogin Anna Amalia Bibliothek Dd 8: 946 [c];https://haab-digital.klassik-stiftung.de/viewer/epnresolver?id=3537424973;I-1628-MA-024C / 1628 Malaga Flood / Landscape with two Horsemen (This document includes);Translation from Spanish;;Verificare se ci sono punti di contatto con qualche relazione di Genni, poiché si dice espressamente che è una traduzione dallo spagnolo.;;;;
P-1628-MA-004E;1628 Malaga Flood;Unknown;;Unknown;Carta del Padre Comendador del convento de la Merced de la ciudad de Málaga, escrita al Padre Provincial de la misma orden, en que le da cuenta de la grande avenida de agua que en aquella ciudad hubo, sábado a la noche 23 de setiembre, y de las muchas pérdidas, ruynas, y muertes que sucedieron, en solo cinco horas, que duró el agua. Relación verdadera, y de que el autor da fe como testigo de vista;Lyra, Francisco de;por Francisco de Lyra;Seville;;;1628;Spanish;Prose;5036382;Seville, Biblioteca de la Universidad de Sevilla A 109/085(064);https://archive.org/details/A109085064/page/n3;I-1628-MA-024D / 1628 Malaga Flood / The Four Winds blowing the Earth (This document includes);;;Foto Schiano di altro esemplare BNE (VE/180/75);;;;
P-1628-MA-004F;1628 Malaga Flood;Unknown;;Unknown;Copia de una carta que un capellán del cardenal Trejo, presidente de Castilla y obispo de Malaga, escribió a su señoría illustríssima, dándole cuenta de un diluvio e inundación que ha acaecido en la ciudad de Málaga, por el mes de setiembre 1628;Liberós, Esteban;por Esteban Liberòs en la calle de S. Domingo;Barcelona;;;1628;Spanish;Prose;5021082;Barcelona, Universitat de Barcelona, Biblioteca de Reserva 07 B-4435-7;https://www.bidiso.es/CBDRS/upload/ejemplares/4990/digitalizado/201711171238__b-44_4_3_4_5-7.pdf;"I-1628-MA-024E / 1628 Malaga Flood / Human Figure measuring an Obelisk; Emblem of the Jesuit Order (This document includes)";;;;;;;
P-1628-MA-0050;1628 Malaga Flood;Hinojales y Ribera, Juan Bautista;;Unknown;Verdad cierta de la ruina lamentable, muertes, y estragos que causó el impensado diluvio, el sábado en la noche 23 de setiembre de 1628;René, Juan;Iuan René;Malaga;;;1628;Spanish;Prose;5043253;Madrid, Biblioteca Nacional de España VE/62/48;;;;;Foto Schiano;;;;
P-1628-MA-0051;1628 Malaga Flood;Muñoz, Marcos;;Unknown;Relación sumaria de la espantosa inundación, que padeció la ciudad de Málaga, sábado en la noche, que se contaron 23 días de setiembre, deste año de 1628 desde las onze, hasta las quatro de la madrugada;René, Juan;Iuan René;Malaga;;;1628;Spanish;Prose;5014161;Madrid, Biblioteca de la Real Academia de la Historia 9/3649(24);;;;;;;;;
P-1629-GR-0052;1629 Granada Flood;Bolaños, Alonso;;Unknown;Relación del admirable huracán y espantoso terremoto de agua y viento que por secretos juyzios de Dios nuestro Señor vino sobre la ciudad de Granada. Dase quenta de las muertes, y pérdidas y diligencias que el señor su arçobispo con sus limosnas hizo, y trabajos que el señor corregidor y Real Audiencia, y todos los ministros passaron para el remedio de ella. En este año de 1629. Con licencia del señor don Alonso Bolaño;Cabrera, Juan de;por Iuan de Cabrera iunto al Correo Mayor;Seville;;;1629;Spanish;Prose;5037796;Granada, Universidad de Granada, Biblioteca del Hospital Real A-046-557 (6);http://digibug.ugr.es/bitstream/handle/10481/19260/F-001-001%289%29.pdf?sequence=1&isAllowed=y;I-1629-GR-024F / 1629 Granada Flood / St Augustine (This document includes);;;;;;;
P-1629-GR-0053;1629 Granada Flood;Bravo, Cristóbal;;Unknown;Relación cierta y verdadera, sacada y aiustada de los autos e informació[n] ante Álvaro Fernández de Córdova escribano público y iurado de la ciudad de Granada, en razón de la tempestad que hubo en la dicha ciudad martes en la tarde 28 de agosto deste año de 1629, día del bienaventurado S. Agustín, desde las dos de la tarde hasta las seis horas de la misma tarde. Recopilada por Christoval Bravo;Lorençana, Bartolomé de;por Bartolomé de Lorençana;Granada;;;1629;Spanish;Prose;5012182;Granada, Universidad de Granada, Biblioteca del Hospital Real A-044-113 (28);http://hdl.handle.net/10481/13184;I-1629-GR-0250 / 1629 Granada Flood / St Augustine (This document includes);;;;;;;
P-1629-GR-0054;1629 Granada Flood;Unknown;;Unknown;Relación de la tempestad y diluvio que sobrevino este año de 1629 a 28. del mes de agosto, dia de San Agustín en la ciudad de Granada, donde se da cuenta de la gente que peligró y casas que se anegaron;Liberós, Esteban;por Estevan Liberós;Barcelona;;;1629;Spanish;Prose;5021216;Barcelona, Universitat de Barcelona, Biblioteca de Reserva B-44/3/5-67;https://www.bidiso.es/CBDRS/upload/ejemplares/5035/digitalizado/201711171238__b-44_4_3_4_5-67.pdf;;;;;;;;
P-1629-GR-0055;1629 Granada Flood;Unknown;;Unknown;Relación de la tempestad, y diluvio che que sobrevino este año de mil t seiscientos y veynte y nueve a veynte y ocho del mes de agosto dia del señor san Augustín en la ciudad de Granada. Donde se da cuenta de la gente que peligró, y casas que se anegaron;Heylán, Francisco;Francisco Heylan;Granada;;;1629;Spanish;Prose;5043296;Madrid, Biblioteca Nacional de España VE/180/49;;;;;Foto Schiano;;;;
P-1630-LI-0638;1630 Lima Earthquake;Córdoba y Salinas, Diego de;Dirigida a / la Catolica Magestad  de Don Felipe IIII N. S. rey potentissimo de las Espanas, / y Monarca invictissimo del Nuevo Orbe, en su Real y Supremo Consejo de Indias;Philip IV;Coronica de la religiosissima provincia de los doze / apostoles del Peru, de la orden de N.P. S. Francisco  de la regular / observancia [...];López de Herrera, Jorge;Por Jorge Lopez de Herrera;Lima;Diego de Córdoba y Salinas witnessed the earthquake that took place at 12 a.m. He refers the miracle of Nuestra Señora del Milagro's image, located in the main chapel of the Franciscan convent in Lima. The image appeared with jointed hands in prayer as if asking for forgiveness and mercy for the city. Moreover, one day when the religious were praying to the Virgin, they saw the image turn and smile at them. The friar tells about the damages that the earthquake caused to the cathedral. The only intercession of the Virgin managed to avoid the complete destruction of Lima.;;1651;Spanish;Prose;;Madrid, Biblioteca Nacional de España R/14078;http://bdh-rd.bne.es/viewer.vm?id=0000015363&page=1;;;TOPOI DELLA NARRAZIONE→Miracoli, prodigi, Interventi soprannaturali;;;;;
P-1630-SM-0056;1630 San Miguel Eruption;Unknown;;Unknown;Vera relatione di un spaventoso prodigio, seguito nell'isola di S. Michele alli 2 di settembre di questo presente anno 1630. Tradotta da portughese in italiano dal dottor Gerardo Ferreira Villarino;Grignani, Ludovico;"appresso Lodovico Grignani; si vendono a Pasquino da Lodovico Dozza Bolognese";Rome;;;1630;Italian;Prose;4011025;Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA 06.B. 015 (1);https://books.google.es/books?id=_2sPAAAAQAAJ&printsec=frontcover&hl=ca&source=gbs_ge_summary_r&cad=0;I-1630-SM-0251 / 1630 San Miguel Eruption / City View from the Sea (This document includes);Translation from Portuguese;;;;;;
P-1630-SM-0057;1630 San Miguel Eruption;Unknown;;Unknown;Vera relatione di un spaventoso prodigio, seguito nell'Isola di San Michele alli due di settembre l'anno 1630. Tradotta da portughese in italiano dal dottore Gerardo Ferreira Villarino;Scoriggio, Lazzaro;per Lazzaro Scoriggio;Naples;;;1632;Italian;Prose;4010882;Naples, Biblioteca Nazionale Vittorio Emanuele III XXIX*A90(23);;;Translation from Portuguese;;Marca tipografica: calderone con all'interno fuoco purificatore, sormontato da un cartiglio col motto Donec purum';;;;
P-1630-SS-0058;1630 San Sebastian Fire;Neira, Juan de;;Unknown;Relación verdadera que trata del lastimoso suceso y desgracia que sucedió en la villa de San Sebastián de Vizcaya, puerto de mar, en este año de 1630;de Huidobro, Pedro;Pedro de Huidobro;Burgos;;;1630;Spanish;Prose;5040213;Madrid, Biblioteca Nacional de España VE/166/36;;;;;Foto Schiano;;;;
P-1631-MA-0059;1631 Madrid Fire;Benavides, Juan de;A don Juan Francisco de Benavides, Marqués de Iavalquinto, de la Cámara de su Magestad, y su Mayordomo;Benavides, Juan Francisco de;Relación del incendio que sucedió en la Plaça mayor de Madrid, a 7 de Iulio, de 1631;Martín, Alonso;Viuda de Alonso Martin;Madrid;;;1631;Spanish;Verse;5009221;Madrid, Biblioteca Regional A-Caj 3/5;https://gestiona3.madrid.org/biblio_publicas/cgi-bin/abnetopac/O9015/IDba78021b/NT1;;;;;;;;
P-1631-MA-005A;1631 Madrid Fire;Unknown;;Unknown;Relación verdadera del lastimoso caso, y incendio, que ha sucedido en la placa mayor de la villa de Madrid, a siete días del mes de iulio deste presente ano de mil y seyscientos y trenta yuno;Iglesia, Julian de la;Julian de la Iglesia;Cuenca;;;1631;Spanish;Prose;5027709;Madrid, Biblioteca Nacional de España VC/226/95;;;;;Foto Schiano;;;;
P-1631-MA-005B;1631 Madrid Fire;Unknown;;Unknown;Relación verdadera del lastinoso caso, y incendio, que ha sucedido en la plaça mayor de la villa de Madrid, a siete días del mes de iulio deste presente ano de mil y seyscientos y trenta y uno;Liberós, Esteban;por Estevan Liberós  en la calle de Santo Domingo;Barcelona;;;1631;Spanish;Prose;5020765;Barcelona, Universitat de Barcelona, Biblioteca de Reserva C-239/4/5-7;https://www.bidiso.es/CBDRS/upload/ejemplares/5585/digitalizado/201711171242__c-249_4_5_4_9-49.pdf;;;;;;;;
P-1631-MA-005C;1631 Madrid Fire;Unknown;;Unknown;Relación del lastimoso incendio que el 6 de julio de 1631 se emprendió a las dos de la manana en la real plaza de Madrid;Fernández Zambrano, Martín;Martines Fernandez Zambrano;Granada;;;1631;Spanish;Prose;5040212;London, Senate House Library Special Collection ([E.P.] MQO [Madrid] fol. SSR);;;;;;;;;
P-1631-MA-021D;1631 Madrid Fire;Unknown;;;Relación del lastimoso sucesso y espantoso incendio que se vido en la villa de Madrid, a siete días deste mes de iulio [...];Guzmán, Bernardino de;Hijos de Hidalgo y Gonzales de la Bonilla;Madrid;;;[1631];Spanish;Prose;Null;London, British Library 593.h.17.(102.);;I-1631-MA-0252 / 1631 Madrid Fire / The Virgin Mery (This document includes);;;;;;;
P-1631-VE-005D;1631 Vesuvius Eruption;Gianetti, Giovanni;;Unknown;Rime dell’incendio di Vesuvio del Signor Giovanni Gianetti;Longo, Egidio;per Egidio Longo;Naples;;;1632;Italian;Verse;4010883;Naples, Biblioteca Nazionale Vittorio Emanuele III XXIX* A 90(21);;I-1631-VE-0253 / 1631 Vesuvius Eruption / Coat of Arms (This document includes);(stemma da identificare);;pdf MEGA;;;;
P-1631-VE-005E;1631 Vesuvius Eruption;Unknown;Niccolò Herrera nuncio apostolico di Napoli;Herrera, Niccolò;1631. Miserando successo e spaventevole occorso nelli 16 di dicembre nel monte Vesevo, detto Soma [!]. All’ill.mo e r.mo s.r. p.ne mio coh.mo mons.r Nicolò Herrera dell’una et dell’altra seg.ra referendario et nuntio per la s.ta di n.s.r del presente Regno di Napoli. Gio. Orlandi romano D.D.D;Unknown;Unknown;[Naples];;;[1631];Italian;Prose;Null;Naples, Biblioteca Nazionale Vittorio Emanuele III S.Q.XXX.B72(9);;"I-1631-VE-0254 / 1631 Vesuvius Eruption / Patrons of Naples; View of the Vesuvius erupting (This document includes)";It contains the same text of the Vero ritratto, ma contiene una diversa incisione. Sono inoltre presenti il nome dell'editore Giovanni Orlandi e quello del dedicatario Niccolò Herrera;;RIVEDERE TRASCRIZIONE TITOLO: lasciamo tutte queste abbreviazioni?  Ok, lo rivediamo insieme. Mile- foto pedicini https://www.pedicinimages.com/index.php?mpag=ricerca&lang=ita;;;;
P-1631-VE-005F;1631 Vesuvius Eruption;Favella, Giovan Gieronimo;All’infinita cortesia, rara gentilezza e unica generosità del sig. Paolo Ruschi;Ruschi, Paolo;Abbozzo delle ruine fatte dal Monte di Somma, con il seguito insino ad hoggi 23 di gennaro 1632. All’infinita cortesia, rara gentilezza e unica generosità del sig. Paolo Ruschi, Gio. Gieronimo Favella offerisce, dedica e dona;Roncagliolo, Secondino;Nella stampa di Secondino Roncagliolo;Naples;;;1632;Italian;Prose;4011050;"Naples, Biblioteca Nazionale Vittorio Emanuele III XXIX*B66(6);Paris, Bibliothèque Nationale de France R-3252";https://gallica.bnf.fr/ark:/12148/bpt6k3135791;I-1631-VE-0255 / 1631 Vesuvius Eruption / Vesuvius smoking (This document includes);;;Foto Annachiara per esemplare SNSP;;;;
P-1631-VE-0060;1631 Vesuvius Eruption;Recupito, Giulio Cesare;All'Exm.mo, e Rev.mo Signor mio Colendissimo il Signor Cardinal Berberino;Barberini, Francesco;Avviso dell’incendio del Vesuvio. Composto dal p. Giulio Cesare Recupito napol.no, della Compagnia di Giesù, tradotto dalla lingua latina all’italiana, ad istanza dell’ill.mi principe e academici otiosi;Longo, Egidio;Per Egidio Longo;Naples;;;1632;Italian;Prose;4012293;Rome, Biblioteca Nazionale Centrale 6. 7.B.44;https://books.google.it/books?id=iof-j_pO9gEC&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;I-1631-VE-0256 / 1631 Vesuvius Eruption / Emblem of the Jesuit Order (This document includes);;;dedicatario Francesco, Antonio o Antonio? http://cardinals.fiu.edu/consistories-xvii.htm;;;;
P-1631-VE-0061;1631 Vesuvius Eruption;Volpe, Camillo;;Ludovisi, Lavinia Albergati;Breve discorso dell’incendio del monte Vesuvio et degli suoi effetti. Per il molto reverendo D. Camillo Volpe V.I.D. et primicerio della maggiore colleggiata insigne di S. Nicolò di Gesualdo;Scoriggio, Lazzaro;Per Lazaro Scoriggio;Naples;;;1632;Italian;Prose;Null;Naples, Biblioteca Nazionale Vittorio Emanuele III XXIX*A90(25);;;Frontespizio con marca tipografica: calderone con all'interno fuoco purificatore, sormontato da un cartiglio col motto Donec purum';;Foto Annachiara_ Madre di Niccolò Ludovisi https://www.treccani.it/enciclopedia/niccolo-ludovisi_%28Dizionario-Biografico%29/;;;;
P-1631-VE-0062;1631 Vesuvius Eruption;Danza, Eliseo;;Barrile, Giovan Angelo;Breve discorso dell’incendio successo a 16 di decembre 1631 nel monte Vesuvio e luochi convicini, e terremoti nella città di Napoli. Con mentione d’altri horrendi successi più volte a detto monte e altre parti seguiti. Del dottor Eliseo Danza da Montefuscolo;Valeri, Lorenzo;Nella stamperia di Lorenzo Valerii;Trani;;;1632;Italian;Prose;Null;Naples, Biblioteca dell'Osservatorio Vesuviano 3 B 004;;;;;Foto Annachiara;;;;
P-1631-VE-0063;1631 Vesuvius Eruption;Amodio, Giulio;Dedicato all’illustrissimo signor Alessandro Felice Rovito, duca di Castel Saracino;Rovito, Alessandro Felice;Breve trattato del terremoto. Scritto da D. Giulio Amodio napolitano in occasione dell’incendio successo nel monte Vesuvio nel giorno 16 di dicembre 1631. Con una verissima relatione di quanto è successo da detto dì fino a 22 di gennaro 1632. Dedicato all’illustrissimo signor Alessandro Felice Rovito, duca di Castel Saracino;Scoriggio, Lazzaro;"Per Lazzaro Scoriggio; si vende all'insegna del Bove";Naples;;;1632;Italian;Prose;4010875;Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA 06.G. 041;;"I-1631-VE-0257 / 1631 Vesuvius Eruption / Coat of Arms of Orazio Rovito; Crucifixion (This document includes)";;;Foto Annachiara. I-1631-VE-005 e P-1631-VE (la poesia a cui si fa riferimento è raccolta in una miscellanea dellla Bibliothéque Mazarine in cui è contenuto anche il trattato di Amodio);;;;
P-1631-VE-0064;1631 Vesuvius Eruption;Unknown;;Rovito, Orazio;Decima relatione, nella quale più delle altre si dà breve e soccinto raguaglio dell’incendio risvegliato nel monte Vesuvio o di Somma nell’anno 1631 alli 16 di decembre sino alli 8 di gennaro del presente anno 1632. Data in luce per Vincenzo Bove;Scoriggio, Lazzaro;Per Lazaro Scoriggio;Naples;;;1632;Italian;Prose;4011041;Naples, Biblioteca Nazionale Vittorio Emanuele III S.Q. XXXI B21 (2);;I-1631-VE-0258 / 1631 Vesuvius Eruption / Coat of Arms of Orazio Rovito (This document includes);;;Foto Annachiara. Vedi nota a Nuove osservationi;;;;
P-1631-VE-0065;1631 Vesuvius Eruption;[Orlandi, Giovanni];;Philip IV;Dell’incendio del Monte di Somma. Compita relatione, e di quanto è succeduto insino ad hoggi. Publicata per Giovanni Orlandi romano alla Pietà;Grignani, Ludovico;ristampato in Roma per Ludovico Grignani;"Rome; Naples";;Naples;1632;Italian;Prose;4011898;Rome, Biblioteca Casanatense VOL MISC.387 1;https://books.google.it/books?id=g9fVP6uGtBMC&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;I-1631-VE-0259 / 1631 Vesuvius Eruption / Coat of Arms of the King of Spain (This document includes);;;Non c'è la lettera dedicatoria come nella prima edizione;;;;
P-1631-VE-0066;1631 Vesuvius Eruption;Orlandi, Giovanni;Al molto illustre Signore e padron mio Lucio Casalta;Casalta, Lucio;Dell’incendio del Monte di Somma. Compita relatione, e di quanto è successo insino ad hoggi. Publicata per Giovanni Orlandi romano alla Pietà;Scoriggio, Lazzaro;Per Lazzaro Scoriggio;Naples;;;1631;Italian;Prose;4011035;Rome, Biblioteca Universitaria Alessandrina XIV e.11 1;http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?teca=MagTeca+-+ICCU&id=oai:www.internetculturale.sbn.it/Teca:20:NT0000:NAPE013907;I-1631-VE-025A / 1631 Vesuvius Eruption / Salvator Mundi (This document includes);;;Orlandi può essere considerato autore in base a quanto afferma nella lettera dedicatoria (avendo riassundo la presente relatione')';;;;
P-1631-VE-0067;1631 Vesuvius Eruption;Braccini, Giulio Cesare;Alli illustrissimi Signori e Padroni miei osservandissimi li Signori Carlo Tappia e Scipione Rovito;"Tapia, Carlo; Rovito, Scipione";Dell’incendio fattosi nel Vesuvio a XVI di dicembre MDCXXXI e delle sue cause ed effetti. Con la narrazione di quanto è seguito in esso per tutto marzo 1632, e con la storia di tutti gli altri incendii nel medesimo monte avvenuti. Discorrendosi infine delle acque, le quali in questa occasione hanno danneggiato le campagne, e di molte altre cose curiose. Dell’abbate Giulio Cesare Braccini, da Gioviano di Lucca, dottor di leggi e protonotario appostolico;Roncagliolo, Secondino;Per Secondino Roncagliolo;Naples;;;1632;Italian;Prose;4012328;Rome, Biblioteca Casanatense VOL MISC.2270 13;https://books.google.it/books?id=Bu2jHoMHckcC&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;;;;;;;;
P-1631-VE-0068;1631 Vesuvius Eruption;Tregliotta, Ludovico;;Gennaro Rocco;Descrittione dell’incendio del monte Vesuvio e suoi maravigliosi effetti, principiato la notte delli 15 di decembre MDCXXXI. Composta per il R.P.M. Ludovico Tregliotta da Castellana, dell’ordine de’ minori conventuali;Scoriggio, Lazzaro;Per Lazaro Scoriggio;Naples;;;1632;Italian;Prose;4010873;Naples, Biblioteca Nazionale Vittorio Emanuele III XXIX*A 90(26);;;Frontespizio con marca tipografica: calderone con all'interno fuoco purificatore, sormontato da un cartiglio col motto Donec purum';;pdf MEGA;;;;
P-1631-VE-0069;1631 Vesuvius Eruption;Santorelli, Antonio;All'illustrissimo Signor don Diego de Mendoza;Mendoza, Diego de;Discorsi della natura, accidenti e pronostici dell’incendio del Monte di Somma dell’anno 1631. Del dottor Antonio Santorelli, primo lettore di medicina e filosofia nella scola di Napoli. Posti in luce da Marcaurelio Ciampotto e dedicati all’illustrissimo signor don Giego De Mendozza;Longo, Egidio;Appresso Egidio Longo;Naples;;;1632;Italian;Prose;4013096;Naples, Biblioteca Nazionale Vittorio Emanuele III RACC.VILL. A 0597;https://books.google.it/books?id=wu-XO4jVTpMC&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;I-1631-VE-025B / 1631 Vesuvius Eruption / Erupting Mountain with Isaiah Verset (This document includes);;;non ho trovato niente sul dedicatario;;;;
P-1631-VE-006A;1631 Vesuvius Eruption;Asterio, Pietro;All'illustrissimo e Reverendissimo Sig. il Signor don Giovanne Salamancha;Salamanca, Giovanni;Discorso aristotelico intorno al terremoto nuovamente occorso nella fedelissima città di Nap. alli 16 del mese di decembre 1631, nel quale si dimostra la vera causa di questo terremoto con il secreto per provedere acciò ne' tempi avvenire non caggioni altre rovine. Per il R.D. Pietro Asterio, sacerdote della Congregatione de padri pii operarii;Savio, Francesco;"Per Francesco Savio; si vendono alla botega di Tomaso Romano";Naples;;;1632;Italian;Prose;4009222;Rome, Biblioteca Nazionale Centrale MISC. Val.911.10;https://books.google.it/books?id=YVTcAW_iDGsC&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;"I-1631-VE-025C / 1631 Vesuvius Eruption / Vesuvius erupting; Coat of Arms (This document includes);P-1631-VE-0086 / 1631 Vesuvius Eruption / Lettera del signor Nicolò Maria Oliva scritta all’illustriss. signor abbate D. Flavio Ruffo, nella quale dà vera e minuta relatione delli segni, terremoti, incendii del monte Vessuvio, cominciando dalli 10 del mese di decembre 1631 per insino alli 5 di gennaro 1632 (This document has attachment(s));P-1631-VE-00A8 / 1631 Vesuvius Eruption / Che dal alto del ciel fulmini Giove; Discorso aristotelico intorno al terremoto nuovamente occorso nella fedelissima città di Nap. alli 16 del mese di decembre 1631, nel quale si dimostra la vera causa di questo terremoto con il secreto per provedere acciò ne' tempi avvenire non caggioni altre rovine. Per il R. D. Pietro Asterio, sacerdote della Congregatione de padri pii operarii (This document has attachment(s))";;;;;;;
P-1631-VE-006B;1631 Vesuvius Eruption;Perrotti, Angelo;All’illustriss. et eccellentiss. sig. D. Andrea Gonzaga;Gonzaga, Andrea;Discorso astrononico sopra li quattro ecclissi del 1632 e uno del 1633. Di D. Angelo Perrotti. Con la risolutione di trenta quesiti. All’illustriss. et eccellentiss. sig. D. Andrea Gonzaga;Roncagliolo, Secondino;Per Secondino Roncagliolo;Naples;;;1632;Italian;Prose;4011049;Rome, Biblioteca Casanatense VOL MISC.1644 4;https://books.google.it/books?id=HdRjzPdY9lIC&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;;Contiene anche un Discorso filosofico di padre Zaccaria, abate di s. Severino;;contiene anche un discorso filosofico di padre zaccaria, abate di s. Severino. Indicare in autori?? NEGLI OPAC l'autore è registrato perotti ma sul frontespirzio è perrotti. NB: nel discorso filosofico di padre Zaccaria è contenuto un madrigale sul Vesuvio. Come catalogarlo?;;;;
P-1631-VE-006C;1631 Vesuvius Eruption;da Siderno, Donato;All’illustrissimo et eccellentiss.mo sig. il signor conte di Monterei, del Conseglio Segreto di Sua M. e viceré di Napoli;De Zúñiga y Acevedo, Manuel;Discorso filosofico et astrologico di D. Donato da Siderno, abbate celestino, nel quale si mostra quanto sia corroso il monte Vesuvio dal suo primo incendio sino al presente e quanto habbi da durare detto incendio. All’illustrissimo et eccellentiss.mo sig. il signor conte di Monterei, del Conseglio Segreto di Sua M. e viceré di Napoli;Nucci, Matteo;Appresso Matteo Nucci;Naples;;;1632;Italian;Prose;4008801;Rome, Biblioteca Nazionale Centrale 34. 6.F.18.5;https://books.google.it/books?id=jriM-x8j1LAC&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;;;;;;;;
P-1631-VE-006D;1631 Vesuvius Eruption;Falcone, Scipione;Carlo Spinelli, referendario e protonotario apostolico;Spinelli, Carlo;Discorso naturale delle cause et effetti causati nell’incendio del monte Vesevo, con relatione del tutto. Di Scipione Falcone, spetial di medicina, napolitano;Beltrano, Ottavio;Appresso Ottavio Beltrano;Naples;;;1632;Italian;Prose;4014022;Naples, Biblioteca Nazionale Vittorio Emanuele III XXIX*C155;;I-1631-VE-025D / 1631 Vesuvius Eruption / Coat of Arms of Carlo Spinelli (This document includes);;;Foto Annachiara;;;;
P-1631-VE-006E;1631 Vesuvius Eruption;Porrata Spinola, Giovan Francesco;Al signor Vincenzo Sirigatti, gentilhuomo fiorentino;Strigatti, Vincenzo;Discorso sopra l’origine de’ fuochi gettati dal monte Vesevo, ceneri piovute, et altri simili successi e pronostico d’effetti maggiori. Di Gio. Francesco Porrata Spinola galateo, medico, filosofo e astrologo eccellentissimo, al signor Vincenzo Sirigatti, gentilhuomo fiorentino;Micheli, Pietro;Nella stamperia di Pietro Micheli Borgognone;Lecce;;;1632;Italian;Prose;4013119;Rome, Biblioteca Nazionale Centrale MISC. Val.911.1;https://books.google.it/books?id=cDYMBsC8yj4C&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;;;;;;;;
P-1631-VE-006F;1631 Vesuvius Eruption;Masini, Michelangelo;All’eminentissimo e reverendissimo signore, il signor cardinale Gio. Domenico Spinula, arcivescovo dell’Acerenza e Matera;Spinola, Giovan Domenico;Distinta relatione dell’incendio del sevo Vesuvio alli 16 di decembre 1631 successo. Con la relatione del incendio della città di Pozzuoli e cause delli terremoti al tempo di Don Pedro de Toledo, viceré in questo Regno nell’anno 1534. Dedicata all’eminentissimo e reverendissimo signore, il signor cardinale Gio. Domenico Spinula, arcivescovo dell’Acerenza e Matera;Roncagliolo, Giovan Domenico;Per Gio. Domenico Roncagliolo;Naples;;;1632;Italian;Prose;4012327;Rome, Biblioteca Nazionale Centrale MISC. Val.911.3;https://books.google.it/books?id=lvKYX-iX-MwC&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;"I-1631-VE-0297 / 1631 Vesuvius Eruption / Coat of Arms of the Cardinal and Bishop Giovan Domenico Spinola; St Gennaro (This document includes)";;;;;;;
P-1631-VE-0070;1631 Vesuvius Eruption;"Gerardi, Antonio; Gianetti, Giovanni";;"Tegrimi, Tegrimio; Pallavicino, Paolo Girolamo";Due relationi compite del maraviglioso et horribil caso de terremoti, fiocca di cenere e incendio del Monte di Somma, detto Vesuvio. Sommariamente descritta e estratta da diverse lettere di religiosi e particolari venuti da Napoli, con la nota di quante volte è successo ne’ tempi antichi e una breve dichiarazione di quello che significa;Ghisoni, Filippo;Per Filippo Ghisoni;Milan;;;1632;Italian;Prose;Null;Milan, Biblioteca Trivulziana Misc Triv.D.11/24;;;The relazione by Antonio Gerardi is dedicated to Tegrimio Tegrimi. The relazione by Giovanni Gianetti is dedicated to Paolo Girolamo Pallavicino;;Foto Annachiara;;;;
P-1631-VE-0071;1631 Vesuvius Eruption;Delli Falconi, Biase Antonio;;;Gli terrori del titubante Vesuvio. Del dottor Biase Antonio delli Falconi;Roncagliolo, Secondino;Nella stampa di Secondino Roncagliolo;Naples;;;1632;Italian;Prose;4011056;Naples, Biblioteca Nazionale Vittorio Emanuele III XXIX*A90(11);;;;;Foto Annachiara;;;;
P-1631-VE-0072;1631 Vesuvius Eruption;Garsia, Giovan Andrea;;de Herrera, Juan Enríquez;I funesti avvenimenti del Vesuvio, principiati martedì 16 di decembre MDCXXXI. Descritti dal dottor Gio. Andrea Garsia;Longo, Egidio;Per Egidio Longo;Naples;;;1632;Italian;Prose;4011051;Naples, Biblioteca Nazionale Vittorio Emanuele III XXIX*B66(15);;"I-1631-VE-025E / 1631 Vesuvius Eruption / Our Lady of the Rescue (Madonna del Soccorso) (This document includes);I-1631-VE-0264 / 1631 Vesuvius Eruption / Coat of Arms of the Marquis Juan Enríquez de Herrera (This document includes)";;;;;;;
